step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-0.0001396362,-0.007949547,-0.00039409363,-2.1591968e-11,-5.90613e-09,-1.0,1.0,0.0,0.0,1.5599271e-06,7.923838e-07,-0.00014168024,0.00036466122,-0.00018399954,-2.6201923e-07,1.4469343e-06,7.1990524e-07,-0.00014185905,0.000364542,-0.00019794703,5.04467e-07,7.897568e-05,4.0052615e-05,-0.007077729,0.018238582,-0.009563424,-1.324541e-05,7.332057e-05,3.6430698e-05,-0.0071003684,0.018224744,-0.009530342,2.5004638e-05,-0.10286157,0.003833443,0.89681613,-0.21677917,-0.43067348,-0.89713055,0.3350061,0.06410978,0.66944975,-0.08401874,-1.413292,0.107432604,0.012331959749558889,0.005473490103852978,0.06794016872135877,0.05085076500455088,-4.598226684525031,-0.0018121460668481092,0.012252596446332234,0.005499813678989041,-0.06844582751819317,-0.0511458718883695,4.624947135233315,-0.00274761214405472
1,0.0029156837,-0.34482524,-0.16074778,-0.008198452,-0.00052540837,-0.99996626,1.0,0.0,0.0,-0.0056045074,0.0019941686,0.013111234,0.0045990944,-0.020043135,-0.030165723,0.015932942,-0.0005692928,0.013179898,0.0031038523,-0.029549241,0.00561921,-0.09847639,0.0355235,0.11487037,0.079549305,-0.34982467,-0.4365781,0.23451726,0.0021813184,0.12435211,0.0018679288,-0.17200333,-0.03189049,-0.005814001,-0.18996044,1.2307047,-0.28210032,-1.2852697,-1.282378,0.76313287,0.26855806,0.9634532,-0.35596442,-2.6655245,0.006163072,-47.86009759943344,0.5216933618745151,200.0,-113.45361297288248,-200.0,-200.0,152.86585251833586,33.14172681377455,200.0,-200.0,200.0,-200.0
2,0.15873507,-0.10446971,-0.12258889,-0.018405378,-0.0026900286,-0.99982697,1.0,0.0,0.0,-0.0074560293,0.0020365831,0.032378852,0.0155745745,-0.07776362,-0.09858713,0.049664613,0.0011336742,0.033523798,0.005239129,-0.05973059,0.013559972,0.062428117,-0.043934587,0.049703375,0.00791223,-0.07682069,-0.11902602,0.012025236,-0.015811162,0.041050747,0.035637382,-0.04702966,0.08316378,-0.09667055,-0.08419572,1.7366245,-0.15261933,-0.81530416,-0.6742416,0.4486153,0.39697,0.9357986,-0.58158433,-2.285688,0.11214419,200.0,-132.7658938261551,-200.0,-200.0,200.0,200.0,-200.0,-129.29200299995466,-200.0,200.0,200.0,200.0
3,0.05673095,-0.047257658,0.03019585,-0.024172295,-0.005829813,-0.99969083,1.0,0.0,0.0,-0.009382626,0.0003903032,0.046869755,0.013556361,-0.08601767,-0.100060225,0.064469114,0.003483099,0.046615183,0.0058972836,-0.091138005,0.013480136,-0.04246493,-0.015438016,0.024917183,0.007172022,-0.06765474,-0.0550132,-0.0044607515,-0.0074967905,0.009823597,0.06917456,-0.16170405,0.09050827,0.60277885,-0.13601345,1.457882,-0.80547833,-0.54895866,0.90816545,0.1622223,0.32526115,0.932074,0.26593366,-1.4263093,0.010214683,200.0,69.6045705103594,-200.0,46.32086743417797,200.0,-200.0,-200.0,200.0,-200.0,-200.0,200.0,200.0
4,0.014033311,-0.07065995,-0.059923314,-0.02722946,-0.0063639735,-0.99960893,1.0,0.0,0.0,-0.0014601268,-0.0006555312,0.05926323,0.005377054,-0.08988702,-0.08158913,0.06290591,0.006487558,0.05434966,0.008777261,-0.100700796,0.009829549,0.06886678,-0.0080801975,0.06405377,-0.04213153,-0.068109676,0.14105861,0.01699076,0.013212374,0.033968985,0.011563876,-0.002298382,0.024754725,0.75116795,-0.20211875,1.428661,-0.9217169,-0.5983368,0.9228257,0.45878768,0.4023198,0.9400631,0.2524982,-0.91615564,0.12917364,199.34880093480825,-17.77119831180942,36.07433051802957,-3.6472673232354964,-200.0,200.0,200.0,-16.640773340672013,-23.90791375274955,-7.239820256141002,200.0,200.0
5,0.025316624,-0.083393864,-0.068418756,-0.031248437,-0.006963392,-0.9994874,1.0,0.0,0.0,0.017084682,-0.0026943195,0.07230663,-0.0023083687,-0.10003996,-0.05048586,0.06851092,0.010769358,0.06357002,0.011064529,-0.11488408,0.005262755,0.04521415,-0.0018455168,0.031221071,-0.0073189735,0.019503871,0.018050296,-0.024827655,0.018512402,0.037007395,0.012612111,-0.0019422483,-0.051185023,0.5118386,-0.1275314,1.5332686,-0.5973078,-0.95557183,0.16660982,0.38947183,0.41505155,0.828404,0.43950894,-0.7037757,0.14787778,-200.0,-6.632997615919251,-35.07415557363049,10.51654301426862,200.0,-200.0,-188.52933960382626,-1.1539574705749374,-57.78507843391998,8.939555148625104,200.0,-200.0
6,0.029406078,-0.050063968,-0.08795085,-0.035689313,-0.008192476,-0.9993293,1.0,0.0,0.0,0.02373949,-0.004269419,0.084908366,-0.0054353476,-0.117586195,-0.024641803,0.07082453,0.014398577,0.0685935,0.016987562,-0.1226244,0.009922173,-0.0065841065,-0.0031074353,0.026094804,-0.0028140163,0.07116725,-0.022843065,0.00789881,0.011039413,0.001997384,0.03787605,-0.06711528,0.011802679,0.38843632,0.040933415,1.5948395,-0.6794587,-1.0149332,-0.22844929,0.31357786,0.4075828,0.8329882,0.4936617,-0.7873767,0.1907584,-200.0,-3.916299285924822,-200.0,-32.515464162119486,200.0,-200.0,200.0,-200.0,200.0,-200.0,200.0,-200.0
7,0.0032144142,-0.34010524,-0.1522774,-0.0433684,-0.009256957,-0.9990163,1.0,0.0,0.0,0.028783707,-0.0035966325,0.10110676,-0.0068210363,-0.13509649,-0.024635017,0.07161803,0.020042187,0.07960975,0.023667336,-0.13719094,0.017963566,-0.00036336697,0.010083194,0.13741791,0.007468033,-0.21620427,-0.0667217,0.035876326,0.04724176,0.11585237,0.015957255,-0.07209157,0.052315213,0.087047145,0.11752714,1.574739,-0.46291515,-0.75265175,-0.9063573,0.17381658,0.38747472,0.3639979,0.5208456,-0.63819915,0.14518666,-59.02967859167222,28.287547336492842,200.0,-200.0,-200.0,-70.44585484800606,16.203785567772687,167.0901610252755,200.0,200.0,-200.0,200.0
8,0.067507595,-0.10210297,-0.13859302,-0.0544626,-0.011095107,-0.99845415,1.0,0.0,0.0,0.031900216,-0.0021988004,0.12518096,-0.006437421,-0.15801382,-0.038803168,0.0707785,0.025984764,0.09537578,0.032842636,-0.14288199,0.026393486,-0.044901676,-0.00508365,0.043797042,-0.00027027362,-0.081936136,0.005547862,0.013043609,0.011650397,0.017725093,0.04155741,-0.095422976,-0.03145951,0.0030782744,0.16573994,1.6406745,-0.6225844,-0.47528866,-1.3030322,-0.052067958,0.33241698,0.47541973,0.59430575,-0.1108787,-0.12575573,-114.79729594765948,-200.0,-200.0,-53.17432654035548,-200.0,200.0,200.0,-200.0,-200.0,-200.0,-200.0,-200.0
