step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.515533e-16,-1.4748805e-16,0.00013166666,-0.00028192997,-0.0013993382,3.372238e-15,1.00889876e-16,-1.1800821e-16,0.00013166666,-0.00028192997,-0.0013993382,2.14183e-15,1.044715e-14,-5.590373e-15,0.0011145964,-0.00052326283,-0.055075563,2.1188236e-13,7.2668574e-15,-3.736577e-15,0.0011145964,-0.00052326283,-0.055075563,1.3459783e-13,-0.10286157,0.003833443,0.89681613,-0.21677917,-0.43067348,-0.89713055,0.3350061,0.06410978,0.66944975,-0.08401874,-1.413292,0.107432604,3.483642813232996e-11,-1.0539616291352356e-11,2.7183874263547736,18.76575115756074,-200.0,5.45034254580476e-10,2.6730854373492522e-11,-5.779471329323907e-12,2.7183874263547736,18.76575115756074,-200.0,3.463606003125949e-10
2,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.0008250083,7.4778036e-05,0.0066664815,-0.0037002563,-0.004111588,-0.009731048,0.002782664,0.00049181865,0.005280912,-0.002141118,-0.018717289,-0.0045940997,0.021043574,-0.0033657344,0.04225292,-0.012123208,-0.065551914,0.0013525496,-0.012158335,0.006677039,0.03065989,-0.0065214746,-0.04037361,-0.07310304,0.00538902,-0.21604408,1.2729023,-0.29854307,-1.27651,-1.3261919,0.7394559,0.26615506,0.9859918,-0.2510773,-2.5519757,-0.0024452247,200.0,-35.89720970885565,35.143473739985836,38.49557934667658,-200.0,200.0,-200.0,36.24997324573687,8.717684730049825,18.32837398942111,200.0,-200.0
3,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.0007212561,-0.0016184641,0.018197417,-0.0072340965,-0.015043378,-0.018911319,0.0095167,0.0025867869,0.014331043,-0.0051202774,-0.041398287,-0.009596607,0.027398104,-0.013652645,0.060726322,-0.01451759,-0.0987192,0.0046560587,0.007962108,0.016180221,0.045914326,-0.013621099,-0.06805249,-0.07558166,0.36968154,-0.15041457,1.5118457,-0.28123438,-1.1996577,-1.0915728,0.79020053,0.325626,0.85832614,-0.051255517,-2.3185139,0.094154164,200.0,-35.596977075161305,10.939485755821465,25.51167650970541,-200.0,200.0,-200.0,35.30508607594075,-6.652100723185242,10.793500805347477,200.0,-200.0
4,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0028797577,-0.003220958,0.03188479,-0.010282397,-0.025595188,-0.028029958,0.0160551,0.005584853,0.022303104,-0.005597353,-0.06466079,-0.012632933,0.042340904,-0.009906268,0.07045445,-0.012852073,-0.10194726,0.0040731556,0.0068575204,0.018575795,0.03863911,-0.0030825366,-0.06757527,-0.063927464,0.71778345,-0.05845155,1.4911765,-0.18431932,-0.94273096,-0.7887627,0.87042975,0.4303505,0.7527228,0.12779084,-1.7450038,0.15507987,200.0,-29.103610453696895,6.039755212609521,22.506330567219294,-200.0,200.0,-200.0,30.09604465103729,-14.564710798255817,5.963331490312029,200.0,-200.0
5,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.009179991,-0.0038827155,0.045329273,-0.011935353,-0.03630835,-0.03731792,0.023301262,0.0094050495,0.028864086,-0.004338503,-0.07499665,-0.015625253,0.055206757,-0.0047069634,0.067357875,-0.0073327287,-0.101904765,0.0031951778,0.010806606,0.022870136,0.03201283,0.005587702,-0.0030400178,-0.06501461,0.9106215,-0.03676732,1.4669334,-0.18582529,-0.6678956,-0.5465234,0.8799706,0.51809275,0.5182042,0.2429361,-1.2695433,0.17075229,200.0,-26.861261581655317,-1.3741721646565566,17.664501728332112,-200.0,200.0,-200.0,28.359085582795387,-12.019233592911462,6.440687335757204,200.0,-200.0
6,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.018759385,-0.0041360203,0.058178782,-0.013460517,-0.046849847,-0.046572194,0.030431567,0.01399415,0.033293247,-0.0017589331,-0.08489162,-0.018817002,0.0733629,-0.003041054,0.06371995,-0.0070154243,-0.10077327,0.0036570784,0.009987291,0.026221065,0.019910337,0.011063713,-0.00018228548,-0.06592372,1.0744613,-0.013914585,1.3758384,-0.16519201,-0.4537226,-0.25113115,0.8990244,0.5355061,0.47264054,0.23069912,-0.99244326,0.17952035,200.0,-25.905929197587835,-3.1074241676682277,16.23195263393785,-200.0,200.0,-200.0,26.251790083661746,-16.045609596146733,2.7234085710121576,200.0,-200.0
7,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.02844872,-0.0041695624,0.06968492,-0.014673591,-0.04826635,-0.04309667,0.0376087,0.01871593,0.036866367,0.00042068958,-0.09444857,-0.022023775,0.07409256,-0.0016101195,0.05682316,-0.005747882,-0.050193734,0.06728898,0.010461213,0.02607995,0.016697606,0.009791122,0.0010964805,-0.06579193,1.1292386,-0.02361323,1.3338678,-0.20764557,-0.30161515,-0.026330631,0.8959082,0.54694223,0.44466642,0.16930167,-0.80239683,0.21021867,200.0,-22.641385584603498,-2.7271022629453228,15.806808565983943,-200.0,200.0,-200.0,24.140897015928857,-10.030303585740313,4.888908177214091,200.0,-200.0
8,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.038134996,-0.00415534,0.080343306,-0.016263962,-0.04839015,-0.039555732,0.044924047,0.023368776,0.040021896,0.0018997192,-0.103752196,-0.024470137,0.07421757,-0.0017672441,0.052546967,-0.007575167,-0.048611283,0.06779914,0.011204205,0.025589136,0.0147471605,0.0063616075,0.0023423845,-0.061580595,1.1347122,-0.00498347,1.3320311,-0.19176295,-0.27142605,-0.02816173,0.9097399,0.5199688,0.42363977,0.15270099,-0.6272403,0.17391619,200.0,-20.850493953629908,-2.332674589297085,15.648098430502074,-200.0,200.0,-200.0,23.426700825295967,-7.947351318597015,4.982687800123557,200.0,-200.0
9,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.047818065,-0.004019823,0.090385556,-0.017725587,-0.048356473,-0.03597466,0.052454896,0.027651757,0.04272282,0.0030988455,-0.106069386,-0.026705861,0.074166864,-0.0006469135,0.050190832,-0.006629107,-0.048108418,0.06790857,0.012322499,0.023300646,0.01312542,0.0051578744,0.03708035,-0.060819883,1.1482513,0.020367071,1.3349993,-0.16773883,-0.27238533,-0.055324484,0.8937846,0.49635923,0.4624151,0.10448088,-0.45095074,0.1288614,200.0,-17.717644885879743,0.8708693802490188,17.098493966166913,-200.0,200.0,-200.0,22.298817431730924,-4.367720939720613,5.727943361301769,200.0,-200.0
