step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.0484696e-18,1.5648741e-08,-7.084908e-19,5.07107e-10,2.0807677e-20,-1.0,1.0,0.0,0.0,1.4361774e-08,3.0844507e-08,-0.00014168024,0.000364542,-0.00019103289,-3.4388776e-08,-8.5621316e-08,-4.7636032e-08,-0.00014179945,0.00036466122,-0.00019103289,7.663264e-07,7.180887e-07,1.5422255e-06,-0.007085928,0.018227074,-0.009551685,-1.7194388e-06,-4.2810657e-06,-2.3818018e-06,-0.007089533,0.018232439,-0.009552402,3.8316324e-05,0.05439382,-0.07385601,0.6371903,-0.19690832,-0.6360143,-0.07273096,-0.038605303,0.2567371,0.3708153,-0.102598384,-0.49107462,-0.20265447,1.0496371106841038e-16,-9.126431015981087e-16,2.4278254961984658e-06,7.5100796692595395e-06,1.6622490051076966e-06,2.184256995542857e-16,2.1725319502952884e-16,-6.610165946398804e-16,2.4278254961984658e-06,7.5100796692595395e-06,1.6622490051076966e-06,-7.931650411561811e-17
2,-0.067518435,-0.4492595,-0.040174957,-0.013371164,0.0021577238,-0.99990827,1.0,0.0,0.0,0.002446488,0.0036464874,0.02468425,0.0047205687,-0.053012967,-0.0019330712,-0.0019470211,0.0061203637,0.023121834,0.0075592995,-0.052297533,-0.017791148,0.014456294,0.019817404,0.1791775,-0.0065823453,-0.14277841,-0.01031468,-0.0083370125,0.040787637,0.16145653,0.031689685,-0.15979035,-0.0102569,0.05541428,-0.31615418,0.5234857,-0.19335742,-0.89297014,-0.16142824,-0.21687908,0.2759092,0.33922178,-0.35549074,-0.57935375,-0.30964974,-7.985906620423339,-94.60787085677491,-104.56398798081557,-125.15222479527077,200.0,-6.408633656347359,6.370075374387103,31.272986928681263,-200.0,-167.95916135362086,200.0,112.7475960064343
3,0.0138297295,-0.45471781,-0.054374464,-0.03230822,0.0025903587,-0.9994746,1.0,0.0,0.0,0.0032840061,0.0035819595,0.062086225,0.004245281,-0.114911854,-0.008534048,-0.014787761,0.011871896,0.06075567,0.003280878,-0.08491135,-0.03605938,0.009694512,-0.016121825,0.1909481,-0.021473585,-0.20917253,-0.029918417,-0.047490757,0.010122384,0.17182986,-0.016288234,-0.1116387,-0.06281568,0.037358783,-0.59219897,-0.071742244,-0.55452174,-0.7894734,-0.31367382,0.20709431,0.20690078,-0.5753553,-0.51516587,-0.9951963,-0.27141252,21.29171330485337,-160.37989710203328,-44.48845841180281,-104.04565866099658,141.09944759990412,-2.249611209557699,43.69156378400541,85.8046109295554,-200.0,-165.35751467623027,200.0,153.07065041344043
4,0.1629744,0.14973846,-0.2057128,-0.03744112,-0.0015487507,-0.9992976,1.0,0.0,0.0,0.002363004,-0.004075028,0.077911854,0.0011782646,-0.15066111,-0.02661697,0.003535149,0.01006018,0.07328576,0.002842307,-0.13090152,-0.045424994,-0.009506823,-0.058460932,-0.014001344,-0.0069673336,-0.16220193,-0.13645224,0.1557554,-0.020834103,-0.027991293,0.0048687807,-0.22446802,-0.030805204,-0.20448595,0.118695304,0.47217628,-0.69897574,-0.8229559,-0.18644145,0.003827422,0.43706098,-0.0006290674,-0.3963052,-0.6106273,-0.18742724,21.90358622670209,-200.0,-200.0,-200.0,-105.29043241661307,-113.67045091445182,107.70246521969206,81.72291578874534,-200.0,-200.0,-13.263820915062382,-9.501715404141365
5,-0.1492061,0.20758647,-0.08168619,-0.030216455,-0.0006834069,-0.99954313,1.0,0.0,0.0,-0.015402053,-0.0031598343,0.08069903,-0.004331708,-0.19346535,-0.042307213,0.02699687,0.021005603,0.06847292,-0.00645864,-0.14815396,-0.046577524,-0.08240742,0.0315728,0.021054296,-0.05350674,-0.06255124,0.003160822,0.03486892,0.10234421,-0.028257279,-0.075310394,0.008045089,3.810784e-05,-0.025573758,0.077766374,1.2060635,-0.4484712,-0.22608152,-0.05716593,-0.19080535,0.30902168,0.9130271,-0.048331946,0.103714034,-0.12702428,31.576640958744193,37.47127758115447,56.10408554125112,-200.0,200.0,41.43999690382009,-144.2889358133599,91.33571527546383,-117.3132919312634,-109.66246499840393,32.283547744404785,0.10764234245019821
6,-0.10242145,-0.37604997,-0.11005751,-0.035840698,0.0044371276,-0.9993477,1.0,0.0,0.0,-0.018306233,0.002467173,0.11248016,-0.026786447,-0.14873105,-0.030483795,0.0072722756,0.041678805,0.08984041,-0.02352643,-0.091937125,-0.041884586,0.01195078,0.023183579,0.24433903,-0.12617598,0.21997534,0.053869653,-0.121294454,0.09312134,0.18816414,-0.06939687,0.2765824,0.021359144,0.10176572,-0.30149123,0.78956527,0.23319782,0.32030582,-0.07322247,-0.068216525,-0.17295939,0.65125096,0.36510453,0.32629305,-0.22438309,13.279254771188244,10.742134421798326,160.4005214869868,-50.4201515865459,-56.98601738279052,-17.19006106892069,8.560711250160892,-21.398330479736146,111.83004761327561,94.56788973453101,-59.77506028358093,-0.0585990324756267
7,0.26392564,-0.35262418,-0.20795397,-0.05175598,-0.0011438773,-0.99865913,1.0,0.0,0.0,-0.0062238025,-0.010468106,0.15229869,-0.030148864,-0.076527655,-0.02466104,-0.007996973,0.040037483,0.11650717,-0.010760784,-0.028400004,-0.04510693,0.06661286,-0.111887716,0.13735989,0.077077605,0.34097353,0.014787338,-0.03597117,-0.06949904,0.080996275,0.14696963,0.24029379,-0.020900173,-0.088635065,0.21189183,0.53201824,-0.29533094,0.20356442,-0.22739592,0.24922663,0.041506723,-0.9487137,0.68263257,-0.6624507,-0.14356188,-1.6015476932505237,-28.520312521534734,-50.80569148593649,117.8762935885236,-27.456322899792838,-2.412791577355307,20.6273410665904,-108.86709778716562,9.206712824564761,72.8597721552826,-21.64636451869461,-1.47350956477338
8,0.0936669,0.15337089,-0.25826353,-0.0547182,-0.008935711,-0.99846184,1.0,0.0,0.0,-0.004705367,-0.022235563,0.1644609,-0.02308166,-0.017525554,-0.034989666,0.009585834,0.03135043,0.10190511,0.039152145,-0.056411505,-0.04229483,-0.020071752,-0.008296205,-0.0021019948,0.0018521203,0.15556052,-0.051612288,0.118556574,-0.017088164,-0.18435863,0.2959027,-0.2321521,0.014529525,-0.099252366,0.05592428,0.98381275,-1.1343415,-0.2894506,-0.39734295,0.23120816,0.44218573,-0.45651478,-0.5346631,-0.8017376,0.08206687,-17.55201785428645,168.3758340332061,-72.66458519443786,-110.93670632891371,-22.46428845094428,8.147282305767263,-8.76212340383671,-21.356038101537248,-200.0,-16.46424612385556,11.62935199828155,-1.847479795797815
9,-0.10082328,0.26659125,-0.34663734,-0.045993865,-0.008153282,-0.99890846,1.0,0.0,0.0,-0.010807413,-0.015726402,0.17358583,-0.042767286,-0.05365151,-0.05448622,0.032236516,0.040153224,0.06352556,0.078564644,-0.11453384,-0.019375304,-0.042426568,0.04699292,0.054447144,-0.13746703,-0.24720576,-0.049475987,0.086392164,0.078187324,-0.19332488,0.110196926,-0.22272368,0.089737974,-0.23851293,-0.40154198,1.7590106,-0.80318743,0.2719916,-0.31522027,0.15675218,0.18339288,-0.05228886,-0.4411378,-0.5479918,0.192285,-31.056399897416217,63.021649350368804,86.82625668644772,-200.0,200.0,-34.49922204747943,-38.96823812836853,72.16050746175367,-172.05283030502991,-200.0,85.6890319713419,-14.488457836517014
