step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.2168943e-05,-0.012488293,1.7362328e-05,1.122383e-10,-1.6308262e-20,-1.0,1.0,0.0,0.0,-1.11086706e-07,-1.5817248e-07,-4.7266483e-05,0.00022530556,-0.00012803078,2.3233072e-07,1.6093715e-07,-7.5484285e-09,-4.7385693e-05,0.00022554398,-0.00012820959,-1.3234247e-06,-5.5543355e-06,-7.908624e-06,-0.0023639982,0.011269331,-0.00640207,1.16165365e-05,8.046858e-06,-3.7742143e-07,-0.002369522,0.011280975,-0.0064099566,-6.617124e-05,0.05439382,-0.07385601,0.6371903,-0.19690832,-0.6360143,-0.07273096,-0.038605303,0.2567371,0.3708153,-0.102598384,-0.49107462,-0.20265447,-2.973523126547509e-17,3.47214850418092e-16,-1.3100315499059434e-05,2.9324636940941673e-05,-1.2500827262229564e-05,2.5173762744192254e-16,-2.8541199867520404e-17,-9.575230099532784e-17,-1.3100315499059434e-05,2.9324636940941673e-05,-1.2500827262229564e-05,-4.9911883235490287e-17
2,-0.033873424,-0.2254551,-0.03559023,-0.0053000203,0.00077697414,-0.99998564,1.0,0.0,0.0,0.0008097808,0.0013808175,0.00828433,0.0021532774,-0.012879968,-0.0005978645,-0.0004720132,0.0021038381,0.008131564,0.0022239685,-0.012601912,-0.005064229,0.007547532,0.012173166,0.07699632,0.008179958,-0.110761605,-0.005344295,-0.0041432637,0.018866425,0.07573568,0.008798559,-0.10668874,-0.044992227,0.055386297,-0.30756757,0.5089402,-0.1670071,-0.90322226,-0.16460094,-0.21421142,0.26899004,0.3134852,-0.33956575,-0.60429525,-0.31245717,26.153086615605627,-38.78744984153334,200.0,-102.07689135571796,-200.0,-35.5699307708496,-18.676242816046447,125.59860550051252,174.8899774403694,-55.067646589885385,-200.0,-94.60167835817707
3,-0.030869316,-0.33939594,-0.016426153,-0.017293446,0.0021091076,-0.99984825,1.0,0.0,0.0,0.0023947684,0.0031717455,0.030290723,0.002827406,-0.04630238,-0.004062254,-0.005498144,0.005595646,0.029680192,0.0033459663,-0.043537855,-0.020659275,0.008085819,0.005098292,0.13057022,-0.0010822405,-0.20273672,-0.02572541,-0.039738696,0.016814003,0.12672478,0.002072644,-0.18101236,-0.09683039,0.017832065,-0.3889437,0.27174652,-0.3601562,-0.9145483,-0.28280586,-0.025614738,0.31724665,-0.1766547,-0.45539945,-0.863396,-0.2999088,6.923852995127337,-174.36854168232517,-60.39476691667022,-90.81290329315506,32.35426829072452,-26.379542693430345,-22.36999864326826,88.15610115730534,-152.7389179274836,-182.67599983085114,148.66292644773947,78.0277703612178
4,0.028412642,-0.19066381,-0.11914656,-0.027839027,0.0019184109,-0.9996106,1.0,0.0,0.0,0.0025393558,0.0033817363,0.05447197,0.0007330179,-0.09234232,-0.012614228,-0.010681451,0.008364663,0.050884068,0.0028761625,-0.08476579,-0.040421445,-0.004227347,-0.0038698793,0.10734536,-0.01735501,-0.23981324,-0.053159405,-0.0149344,0.012080677,0.08622941,-0.007840508,-0.2155296,-0.093258314,-0.05376423,-0.34164938,0.30316815,-0.49041837,-0.86819917,-0.25748447,0.00064261165,0.35319412,-0.08223137,-0.5304612,-0.7476383,-0.25039467,7.068659023695854,-198.7351367737776,-79.84813619155727,-166.429660992482,-43.8245119406584,-66.41143704027877,25.464865833781552,129.86602552815467,-200.0,-200.0,-56.98556871678662,22.03935165809162
5,0.055359073,-0.023760777,-0.18638745,-0.031801596,-5.1770414e-05,-0.9994942,1.0,0.0,0.0,-0.00039949897,0.0013851912,0.07259452,-0.0050053596,-0.13960767,-0.023407247,-0.010842836,0.011473894,0.06309062,-0.0009338856,-0.12579894,-0.05588651,-0.021415975,-0.01501969,0.07600983,-0.038288977,-0.22729678,-0.051907398,0.009454823,0.018849447,0.040295642,-0.02871637,-0.19494788,-0.061933096,-0.15715721,-0.050626576,0.6908117,-0.5253981,-0.7027439,-0.12302322,-0.079399034,0.45581067,0.29220495,-0.29396716,-0.3520376,-0.2816106,-9.124727511986006,-161.253337795597,-70.1072197725956,-200.0,62.828208984584194,-33.127827842751074,17.32699774966649,155.11961985256346,-163.91954371632698,-200.0,-137.56442630517606,49.10216617617638
6,-0.00727805,-0.086325124,-0.24506976,-0.0344836,-0.0011713238,-0.99940455,1.0,0.0,0.0,-0.008241985,-0.0005367044,0.09243345,-0.015068769,-0.18462259,-0.03145741,-0.009665285,0.020294389,0.07447094,-0.010490656,-0.1574021,-0.06807657,-0.05052292,-0.0049355044,0.11120253,-0.05888573,-0.21695045,-0.030371604,0.0027596864,0.06384916,0.06585419,-0.062419873,-0.123435736,-0.058230717,-0.14008798,-0.08120449,0.9265316,-0.4123597,-0.282991,-0.061315797,-0.037897587,0.2591465,0.3584187,0.020706803,-0.14082928,-0.32460865,-17.49075977838055,-16.64815063008157,62.24703308513725,-181.4558194907252,0.49566320573291023,-1.0879732528505381,-20.129495569397854,192.23757597516962,2.3357694749133184,-130.85709202634322,128.60771098073465,-9.291779372691018
7,0.01983035,-0.18401413,-0.33682486,-0.04015756,-0.0017779634,-0.99919176,1.0,0.0,0.0,-0.019305525,-0.0031189858,0.118507326,-0.028814793,-0.215998,-0.03379286,-0.009044033,0.03349107,0.0882023,-0.019686699,-0.16988099,-0.0787069,-0.056077,-0.02072773,0.14521489,-0.07659789,-0.10798583,0.003140488,0.0034912222,0.063687444,0.06622533,-0.028711766,-0.012400287,-0.04366313,-0.17441691,0.05129364,0.9175437,-0.52440244,0.0598668,-0.032875672,0.06161058,0.12686045,-0.1265235,0.17965782,-0.26575124,-0.24650788,-35.84883851953947,-35.92359727267163,200.0,-154.57571987811792,200.0,37.052448564849435,-0.5924532069592724,0.5591404012714065,-60.624167169685876,81.1003334936573,200.0,39.1775755201269
8,0.041064013,-0.15363789,-0.4301439,-0.046796516,-0.0037363346,-0.99889743,1.0,0.0,0.0,-0.028991768,-0.007808644,0.14638495,-0.045007348,-0.2255314,-0.030211123,-0.0059308447,0.044251338,0.094071984,-0.018079758,-0.16129404,-0.08315392,-0.043440998,-0.025778249,0.13565497,-0.08464837,0.0017141722,0.027264187,0.023637855,0.045921642,0.0004846281,0.034414686,0.08012389,-0.007022819,-0.25604913,0.174256,1.0755861,-0.6372089,0.016447619,0.030010685,0.1282883,0.15548338,-0.371435,0.13289881,-0.3921241,-0.008719789,13.690348063641913,65.71591728245318,34.51261355478019,-91.54534148696446,200.0,19.396878084035865,21.42470259314437,-70.83433792363111,-200.0,98.12317433691885,119.49175225162213,52.76846331936075
9,0.016465392,-0.13067108,-0.5127837,-0.052627303,-0.0057864627,-0.99859744,1.0,0.0,0.0,-0.038226955,-0.011780199,0.17432189,-0.06367254,-0.2131055,-0.021728951,0.0017764169,0.052900553,0.08836532,-0.0072273016,-0.14258194,-0.07593,-0.044860277,-0.013819523,0.13797437,-0.09834476,0.11176618,0.049254637,0.046508197,0.039763633,-0.05336518,0.06593657,0.09572484,0.06448445,-0.31138468,0.0552938,1.1365231,-0.57405967,-0.22171865,0.062568456,0.11509359,0.25524366,-0.34473485,-0.014970362,-0.38358325,0.19846496,-8.072130476341378,125.34691770589045,56.009523549401564,-97.83941979422383,200.0,12.196916923546304,17.275793137507662,-67.02781054937397,-200.0,19.712998337314765,-2.8475068112061592,90.67628207725792
