step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1.6,-0.8,0.0,0.0,0.0,-0.8,1.6,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-4.236729e-06,-0.007948077,-1.6194454e-06,5.07107e-10,2.075827e-20,-1.0,1.0,0.0,0.0,-8.5621316e-08,-4.7636032e-08,-0.00014179945,0.00036466122,-0.00019103289,7.663264e-07,1.4361774e-08,3.0844507e-08,-0.00014168024,0.000364542,-0.00019103289,-3.4388776e-08,-4.2810657e-06,-2.3818018e-06,-0.007089533,0.018232439,-0.009552402,3.8316324e-05,7.180887e-07,1.5422255e-06,-0.007085928,0.018227074,-0.009551685,-1.7194388e-06,0.028184038,-0.10579616,0.23251449,-0.040947326,-0.78168595,-0.032383166,0.06134259,-0.019835062,0.3865574,-0.2790498,-0.7474744,0.08423359,3.84750130436434e-16,-9.130233181599585e-16,2.4278254961984658e-06,7.5100796692595395e-06,1.6622490051076966e-06,2.167010487741222e-16,2.1397136408921143e-16,-6.625507892921531e-16,2.4278254961984658e-06,7.5100796692595395e-06,1.6622490051076966e-06,-7.920026883640448e-17,-8.5621316e-08,-4.7636032e-08,-0.8001418,1.6003647,-0.80019104,7.663264e-07,1.4361774e-08,3.0844507e-08,-0.8001417,1.6003646,-0.80019104,-3.4388776e-08,-8.5621316e-05,-4.7636033e-05,-0.14179066,0.36464876,-0.19104804,0.00076632644,1.43617735e-05,3.084451e-05,-0.14171857,0.36454147,-0.1910337,-3.4388777e-05
2,0.2645749,-0.6888978,-0.17552416,-0.016370136,-0.006791852,-0.99984294,1.0,0.0,0.0,0.0061512017,-0.009740796,0.029398918,0.008992553,-0.09116572,-0.0012364269,0.01562738,-0.010742799,0.033945203,0.004888892,-0.08584833,0.019985933,0.034886163,-0.07452429,0.26495323,0.045927525,-0.7377657,-0.020851819,0.0792068,-0.07696843,0.30524257,0.0016287332,-0.71382034,0.07339536,-0.011079778,0.23969653,-0.3327223,-0.05268786,-0.6923049,-0.028345004,0.06515326,0.6696733,0.1016274,-0.13087265,-0.908057,0.02113304,-117.40059972464707,138.1544287522386,172.5082397320066,-200.0,-9.172580914058244,-189.15981922924178,-51.83769253013374,-43.99825609328212,-58.483487185241756,-200.0,14.638339588647796,-53.06877769252203,0.0061512017,-0.009740796,-0.7706011,1.6089926,-0.89116573,-0.0012364269,0.01562738,-0.010742799,-0.7660548,1.6048889,-0.88584834,0.019985933,0.69772327,-1.4904858,5.299064,0.9185505,-14.755315,-0.41703638,1.584136,-1.5393686,6.1048512,0.032574665,-14.276406,1.4679071
3,-0.2988899,-0.17103697,-0.14573015,-0.03285112,-0.0051941522,-0.99944675,1.0,0.0,0.0,0.0047296444,-7.473825e-05,0.06668872,0.01490593,-0.2870142,-0.011005722,0.03335226,-0.0029589077,0.08058369,0.010322452,-0.29146868,0.015457151,-0.021609182,0.14830963,0.116543345,0.00595343,-1.1214026,-0.0727699,0.08489161,0.12808894,0.16263217,0.051130433,-1.298273,-0.031006489,0.045412228,-0.73878133,-0.6784963,-0.6536913,0.6260433,0.10919819,-0.49480167,-0.38086855,-0.6863167,-0.9032573,0.352279,-0.05537192,-23.198128143348058,200.0,-134.80851925724926,-200.0,-185.49085908163033,64.66803033628427,-7.344755633827042,200.0,-200.0,-140.79055614617175,-200.0,-40.10109212021473,0.0047296444,-7.473825e-05,-0.7333113,1.614906,-1.0870142,-0.011005722,0.03335226,-0.0029589077,-0.7194163,1.6103225,-1.0914687,0.015457151,-0.43218362,2.9661925,2.3308668,0.1190686,-22.428053,-1.4553981,1.6978322,2.5617785,3.2526433,1.0226086,-25.96546,-0.62012976
4,0.30927762,0.4790022,0.09633781,-0.02698368,-0.0053792316,-0.9996214,1.0,0.0,0.0,0.013762446,-0.0012486642,0.06523585,0.016057372,-0.39420646,0.021109369,-0.0070883404,-0.0057489746,0.090641975,0.005704522,-0.44022518,-0.010286973,0.06976016,-0.119789146,-0.10598034,0.0028651848,-0.06674479,0.18749247,-0.42191654,-0.13228025,-0.05170652,-0.025477082,-0.26184657,-0.1836267,0.056963455,-0.05710712,1.3650434,0.032623596,0.6877124,-0.0002110824,0.06756359,1.0278921,0.5530126,-0.16796657,0.2560029,0.2755621,-200.0,-200.0,-200.0,-200.0,200.0,-103.68509131382046,68.47248906134237,-200.0,-200.0,-200.0,200.0,-7.923952219135344,0.013762446,-0.0012486642,-0.73476416,1.6160574,-1.1942065,0.021109369,-0.0070883404,-0.0057489746,-0.70935804,1.6057045,-1.2402252,-0.010286973,1.3952031,-2.395783,-2.1196067,0.057303697,-1.3348957,3.7498493,-8.438331,-2.6456048,-1.0341303,-0.50954163,-5.2369313,-3.6725338
5,0.11842678,-0.22490518,-0.16155118,-0.020964095,-0.013992744,-0.9996823,1.0,0.0,0.0,0.029502792,-0.01581982,0.07311016,0.009211421,-0.30248696,0.017791767,-0.028084632,-0.021934928,0.10871422,-0.012521744,-0.3963477,0.043183714,0.07751294,-0.05143408,0.15917726,-0.05267898,0.88844484,-0.038732138,0.14242218,-0.057053115,0.16912934,-0.07727664,0.5844713,0.44159356,-0.41426075,0.030210584,0.103471726,-0.11671562,0.14967014,0.06155357,0.97656703,0.124509335,0.19959535,-0.22777379,0.519009,-0.18601272,84.6069257882955,200.0,200.0,-200.0,200.0,44.69104749971734,-22.900606563186436,-29.079231890326703,200.0,94.95595158365954,200.0,2.4884003547992606,0.029502792,-0.01581982,-0.72688985,1.6092114,-1.102487,0.017791767,-0.028084632,-0.021934928,-0.6912858,1.5874783,-1.1963477,0.043183714,1.5502589,-1.0286816,3.183545,-1.0535796,17.768896,-0.77464277,2.8484435,-1.1410623,3.3825867,-1.5455327,11.689425,8.831871
6,-0.21768968,-0.011702031,-0.20270021,-0.027186695,-0.010523891,-0.99957496,1.0,0.0,0.0,-0.007641138,-0.010407626,0.10487324,-0.018360019,-0.1339792,0.030407423,0.056579534,-0.010336145,0.1473571,-0.048990965,-0.18861431,0.028506424,-0.40514317,0.06869089,0.110716775,-0.1600367,0.6294393,0.062500514,0.6508257,0.13545108,0.15646109,-0.23288171,1.3073738,-0.40396222,0.009672004,-0.1026974,-0.70941573,0.49465606,-1.0620126,0.08933556,-0.73770523,0.06727618,-0.23716508,0.4455921,-0.12050323,-0.40055862,200.0,36.65718020374612,-200.0,-141.97393037990923,200.0,-76.57828248655392,-200.0,16.590542388024417,-126.82275814982802,-43.61704406017884,-69.3508675048522,0.12699701132845576,-0.007641138,-0.010407626,-0.6951268,1.58164,-0.9339792,0.030407423,0.056579534,-0.010336145,-0.6526429,1.551009,-0.9886143,0.028506424,-8.102863,1.3738178,2.2143354,-3.200734,12.588785,1.2500103,13.016514,2.7090216,3.1292217,-4.6576343,26.147474,-8.079245
7,-0.00892968,0.56844133,-0.17724596,-0.014642866,-0.007015307,-0.99986815,1.0,0.0,0.0,-0.03719821,-0.010598282,0.08689731,-0.010529637,-0.11389637,0.05383353,0.12857471,0.008649615,0.13459295,-0.05443895,-0.04509574,-0.11042614,0.018875906,-0.04914595,-0.25045648,0.19551885,-0.33277443,0.18589735,0.105652906,0.06812067,-0.28837773,0.2035384,0.046677668,-0.7905653,0.49931937,-0.08690867,0.9167297,-0.11946113,-0.22334704,0.041030742,-0.83375037,-0.33770552,1.3007061,0.41603875,0.5744669,0.66688275,-200.0,122.73533359349624,-200.0,200.0,-144.3042728841828,-200.0,94.35873137920133,-187.78258062254517,-200.0,200.0,-200.0,84.13232076432229,-0.03719821,-0.010598282,-0.7131027,1.5894704,-0.9138964,0.05383353,0.12857471,0.008649615,-0.66540706,1.5455611,-0.84509575,-0.11042614,0.37751812,-0.9829189,-5.0091295,3.910377,-6.6554885,3.717947,2.113058,1.3624134,-5.7675548,4.070768,0.93355334,-15.811306
8,0.23878168,-0.030519247,-0.15505642,-0.005022656,-0.013187779,-0.9999004,1.0,0.0,0.0,0.01925957,-0.033928607,0.07687223,-0.0032519102,-0.17338282,0.053756755,0.09483704,0.006555663,0.09415442,-0.00080895424,0.04596281,-0.15680511,0.5023939,-0.14796242,0.11884496,-0.09244319,-0.2043248,-0.021557713,-0.387975,-0.061096787,-0.13427404,0.32505974,0.6822647,0.22331002,-0.2255849,0.648221,0.43401292,-0.9293553,0.3302878,-0.08813169,0.22321916,0.6094231,0.50610274,-1.1154208,-0.29605767,0.73168427,-200.0,-200.0,200.0,200.0,200.0,200.0,200.0,31.62300707733874,200.0,-169.74888886719387,185.03432856141245,-6.035061444213326,0.01925957,-0.033928607,-0.7231278,1.5967481,-0.97338283,0.053756755,0.09483704,0.006555663,-0.7058456,1.5991911,-0.7540372,-0.15680511,10.047877,-2.9592483,2.3768992,-1.8488637,-4.086496,-0.43115425,-7.7595,-1.2219357,-2.6854806,6.501195,13.645293,4.4662004
9,-0.31668395,-0.67010945,-0.12764671,-0.020316593,-0.010564538,-0.9997378,1.0,0.0,0.0,0.06786549,-0.034310967,0.14259768,-0.06367087,-0.10827863,0.008679165,0.07567858,0.018822735,0.10873932,0.03162229,0.075858474,-0.0048056683,0.033926986,0.11099042,0.4919878,-0.47809154,0.75931853,-0.21900307,0.14033519,0.16472583,0.24257295,0.028269967,-0.28667042,1.200529,-0.78992546,-0.7347908,-0.4477311,0.46192005,0.1948974,0.16036117,0.37987247,-0.6146807,-0.37920418,-0.5800338,-1.0197152,-0.42718145,200.0,200.0,200.0,-200.0,-200.0,200.0,-200.0,200.0,142.5678264207919,-200.0,200.0,25.533261727274976,0.06786549,-0.034310967,-0.65740234,1.5363292,-0.90827864,0.008679165,0.07567858,0.018822735,-0.6912607,1.6316223,-0.72414154,-0.0048056683,0.6785397,2.2198083,9.839756,-9.5618305,15.18637,-4.380061,2.8067038,3.2945166,4.851459,0.56539935,-5.733408,24.010578
