step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-4.236729e-06,-0.007948077,-1.6194454e-06,5.07107e-10,2.0807677e-20,-1.0,1.0,0.0,0.0,1.4361774e-08,3.0844507e-08,-0.00014168024,0.000364542,-0.00019103289,-3.4388776e-08,-8.5621316e-08,-4.7636032e-08,-0.00014179945,0.00036466122,-0.00019103289,7.663264e-07,7.180887e-07,1.5422255e-06,-0.007085928,0.018227074,-0.009551685,-1.7194388e-06,-4.2810657e-06,-2.3818018e-06,-0.007089533,0.018232439,-0.009552402,3.8316324e-05,-0.11619203,0.35467887,-0.7787694,0.27912325,-0.69625384,0.1955908,-0.52707076,-0.3622401,0.5774242,0.23067473,-0.81039023,0.14134341,1.0496371106841038e-16,-9.126431015981087e-16,2.4278254961984658e-06,7.5100796692595395e-06,1.6622490051076966e-06,2.184256995542857e-16,2.1725319502952884e-16,-6.610165946398804e-16,2.4278254961984658e-06,7.5100796692595395e-06,1.6622490051076966e-06,-7.931650411561811e-17
2,-0.019388637,-0.09678391,0.8302624,-0.002199448,0.00030594744,-0.99999756,1.0,0.0,0.0,-0.05009482,0.007160205,-0.022328198,0.041255474,-0.103400886,0.09866772,-0.05128457,-0.010017704,0.00051790476,0.031824708,-0.10357517,0.08985903,-0.39496514,0.06818362,-0.18330552,0.3162658,-0.77282155,0.74435794,-0.46291852,-0.087103546,0.022586217,0.23094797,-0.77429634,0.66584295,-0.06030816,0.6052461,-1.0342575,0.6826075,-0.5364292,0.07755234,-0.6777051,-0.47054523,1.4169034,0.1284291,-0.65551347,0.5727771,200.0,200.0,-200.0,-127.67913667662435,200.0,-200.0,-167.46231061688945,-200.0,200.0,-58.09035652877532,200.0,-200.0
3,-0.15800698,-0.17512475,1.1775836,-0.007933922,0.0042641326,-0.9999594,1.0,0.0,0.0,-0.1019719,0.03109315,-0.07923311,0.13711786,-0.2618832,0.17345275,-0.1892841,-0.03539689,0.014626563,0.07978284,-0.32808,0.28603068,-0.094582215,0.16281053,-0.3707342,0.6084694,-0.59831643,-0.05023017,-0.87596714,-0.16825223,0.106311835,0.25505757,-1.5037897,1.3373421,0.6399733,0.05867746,-1.3566127,0.44763833,0.07959313,-0.45303294,0.103415996,-0.38697582,0.9839579,-0.6556298,0.23172092,0.15179226,200.0,200.0,-200.0,200.0,72.50469327573933,-200.0,-200.0,-200.0,200.0,117.60771639586088,-200.0,200.0
4,-0.060495067,-0.2915403,0.7373657,-0.0170107,0.010494455,-0.9998002,1.0,0.0,0.0,-0.06569484,0.059737965,-0.1687414,0.2743746,-0.27314776,0.05804879,-0.30503076,-0.081615634,0.052749097,0.10341954,-0.52426225,0.4523398,0.4102315,0.083593674,-0.4826029,0.66938156,0.38965794,-0.9815797,-0.345881,-0.288918,0.24563639,0.038059782,-0.56209594,0.4225017,0.46789908,-0.020997718,-0.8389319,0.09204076,-0.29912603,0.11854183,0.84215593,0.038663507,0.35718077,-0.87772596,0.31674823,-0.31415835,200.0,-97.9550086371545,-200.0,-200.0,200.0,-149.80357641838657,200.0,-200.0,200.0,-200.0,200.0,-200.0
5,-0.29574087,-0.16710167,0.40151027,-0.025838893,0.017649919,-0.9995103,1.0,0.0,0.0,0.07476251,0.06283219,-0.2730779,0.3902979,-0.26413327,-0.03409076,-0.31583107,-0.11672618,0.1137107,0.09571099,-0.5392961,0.43431082,0.82490045,-0.0447252,-0.5626995,0.5037278,-0.0556567,-0.008595275,0.18013506,-0.077721424,0.33937383,-0.098545745,0.3281359,-0.5138095,-0.32042673,-0.5938373,-0.39615762,-0.40490288,-0.50724405,0.14703491,0.21448834,-0.1528895,-0.19467975,-1.0567504,-0.38329875,0.33542964,-200.0,-115.33929482809839,-62.343301893746,-200.0,196.58122568069467,200.0,200.0,200.0,-191.33643861270969,-200.0,200.0,-200.0
6,0.21160674,-0.048685845,0.26128462,-0.029632036,0.019697938,-0.99936676,1.0,0.0,0.0,0.19566196,0.02092284,-0.3661291,0.46006906,-0.34701723,0.030775996,-0.23376958,-0.14030582,0.17073876,0.07352877,-0.45973235,0.3434443,0.4282007,-0.3316426,-0.34852558,0.21341585,-0.59791803,0.49374604,0.59884685,-0.1413564,0.24988087,-0.10137113,0.39373794,-0.17795816,-0.5460061,0.017276883,0.063360766,0.06296192,-0.15844077,-0.012426009,0.1565222,-0.60562867,0.012870133,-1.3060664,-0.52407056,0.39276126,-200.0,-200.0,200.0,-200.0,-200.0,200.0,200.0,-36.125586562259,-200.0,-200.0,180.8514795174272,200.0
7,0.523376,-0.10879225,0.2704279,-0.032989636,0.004383743,-0.9994461,1.0,0.0,0.0,0.22234681,-0.034890294,-0.40729862,0.47154152,-0.3633011,0.050445247,-0.11201274,-0.1792912,0.21873319,0.059129,-0.4605047,0.35541362,-0.10990663,-0.2154001,-0.101322286,-0.06866661,0.2566843,-0.12422253,0.54546726,-0.24331181,0.23803928,-0.07675827,-0.12382734,0.08436226,-0.014225705,0.7314701,-0.52562326,0.09278588,0.39427847,-0.14275412,-0.32850796,0.20057403,-0.07828586,-1.3180456,-0.27232575,0.18146923,-200.0,200.0,200.0,-200.0,-11.753939476808455,-20.715311308724978,-5.070508405963665,-200.0,-200.0,-200.0,-6.28305663533979,-8.859760390386839
8,0.019669624,0.32091776,0.78826016,-0.027333412,-0.00475744,-0.9996151,1.0,0.0,0.0,0.14854795,-0.039088633,-0.44785887,0.43717396,-0.21564108,-0.01832304,-0.06806839,-0.20382841,0.2456457,0.036746025,-0.40311533,0.2977369,-0.54006463,0.13907784,-0.25975618,-0.26114112,1.0439605,-0.43532982,-0.047230758,-0.03136947,0.03501828,-0.11509784,0.53129965,-0.51643926,0.26613688,0.093085065,-0.35919353,0.72535396,0.16458291,0.06900974,-0.23936647,0.32874262,0.30579793,-0.83847725,-0.036065318,-0.05574739,-200.0,200.0,-175.26902797363954,-200.0,200.0,-200.0,-200.0,200.0,-200.0,-200.0,200.0,-200.0
9,-0.5323167,-0.15686564,0.62689847,-0.024841418,0.0072907507,-0.99966484,1.0,0.0,0.0,0.08952555,0.0025492748,-0.47789532,0.39997804,-0.06473619,-0.016514013,-0.10526513,-0.1900812,0.26533312,0.0059776306,-0.27997524,0.17835392,-0.09087493,0.24673343,-0.05906525,-0.12312583,0.49634334,0.279414,-0.22894846,0.14584716,0.07656899,-0.018635914,0.5414203,-0.43454725,0.45286188,-0.58013517,-0.06523171,0.82052135,-0.22961858,0.083209895,0.06524896,-0.6384158,-0.044712156,-0.54755914,-0.6518016,-0.10108026,200.0,-51.50480624582474,200.0,200.0,-60.45323751044356,189.6056281962937,-49.418757322386966,200.0,-1.852132028046455,-200.0,-57.168860292377246,5.991726746413008
10,-0.0025264234,-0.26476905,-0.28902146,-0.033648092,0.01745591,-0.9992813,1.0,0.0,0.0,0.13406685,0.009348674,-0.47232038,0.3869723,-0.07131451,0.034351207,-0.10803763,-0.17731792,0.27495104,0.017305374,-0.26766247,0.07845795,0.41083273,-0.12441968,0.09232064,-0.019577859,-0.30708623,0.14802712,0.15080895,-0.011020308,0.042154755,0.10044453,-0.31058955,-0.45533153,0.2015829,-0.023578241,-1.0494602,0.20732363,-0.11290076,0.12310677,0.35221976,-0.44517076,-0.019768909,-1.0362043,-0.023107596,-0.17925861,-156.1186261938277,-200.0,200.0,200.0,200.0,-200.0,127.81757782697304,-200.0,-200.0,-200.0,-200.0,200.0
11,0.2197204,0.36973485,-0.4363045,-0.030600803,0.011614622,-0.9994642,1.0,0.0,0.0,0.1914666,-0.015505138,-0.47200018,0.36441982,-0.09998095,0.07580995,-0.03875773,-0.18207969,0.25965625,0.043243885,-0.24927849,-0.012533056,0.1109034,-0.08987291,-0.07594978,-0.18853997,-0.024873696,0.10183948,0.51752806,-0.020556282,-0.18619645,0.19366568,0.22012165,-0.18009818,-0.4297507,0.53587896,-0.56926006,0.06018175,0.2929288,0.0037426967,-0.26368368,0.27068472,0.6556896,-0.8386108,0.26031023,-0.26580822,-158.20326573432988,85.86650769500852,-200.0,-169.3499581351561,38.946759315575456,-85.99454308351935,200.0,-200.0,-200.0,-200.0,158.85512886091743,200.0
12,-0.41548353,0.17957354,0.5882331,-0.019572308,0.017105762,-0.9996621,1.0,0.0,0.0,0.14875627,0.016244043,-0.4885736,0.31015062,-0.011576295,0.046475437,0.012651838,-0.16298757,0.23114961,0.07474768,-0.20390612,-0.0814107,-0.4751216,0.36217052,-0.06785278,-0.34095988,0.7706529,-0.24509071,0.042065572,0.18470748,-0.10511249,0.13058779,0.23849595,-0.47450444,-0.28494203,-0.79800576,-0.12638514,0.35371643,0.17115897,-0.24686097,-0.80727977,-0.015366867,0.41603255,-0.20318241,-0.15633968,-0.22356984,-200.0,200.0,-87.26062851506276,-200.0,200.0,-102.92278170179682,-200.0,200.0,200.0,-200.0,200.0,-200.0
