step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1.6,-0.8,0.0,0.0,0.0,-0.8,1.6,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-4.236729e-06,-0.007948077,-1.6194454e-06,5.07107e-10,2.0807677e-20,-1.0,1.0,0.0,0.0,-8.5621316e-08,-4.7636032e-08,-0.00014179945,0.00036466122,-0.00019103289,7.663264e-07,1.4361774e-08,3.0844507e-08,-0.00014168024,0.000364542,-0.00019103289,-3.4388776e-08,-4.2810657e-06,-2.3818018e-06,-0.007089533,0.018232439,-0.009552402,3.8316324e-05,7.180887e-07,1.5422255e-06,-0.007085928,0.018227074,-0.009551685,-1.7194388e-06,0.12061938,0.49567306,-0.5356328,0.6915621,-0.95663244,0.15054838,-0.354795,-0.7263043,0.5592047,0.2519579,-1.0495656,-0.03174166,3.996839085457947e-16,-9.126431015981087e-16,2.4278254961984658e-06,7.5100796692595395e-06,1.6622490051076966e-06,2.184256995542857e-16,2.1725319502952884e-16,-6.610165946398804e-16,2.4278254961984658e-06,7.5100796692595395e-06,1.6622490051076966e-06,-7.931650411561811e-17,-8.5621316e-08,-4.7636032e-08,-0.8001418,1.6003647,-0.80019104,7.663264e-07,1.4361774e-08,3.0844507e-08,-0.8001417,1.6003646,-0.80019104,-3.4388776e-08,-8.5621316e-05,-4.7636033e-05,-0.14179066,0.36464876,-0.19104804,0.00076632644,1.43617735e-05,3.084451e-05,-0.14171857,0.36454147,-0.1910337,-3.4388777e-05
2,0.08265252,-0.09658189,-0.035772998,-0.0022491205,-0.0017389127,-0.99999595,1.0,0.0,0.0,0.029613173,0.0010210606,-0.02040422,0.042415857,-0.10782212,0.049148407,-0.048074726,-0.005364979,0.0015422702,0.024280548,-0.10901809,-0.010316033,0.17056507,0.020388918,-0.17476822,0.36265132,-0.9719497,0.21800962,-0.44368657,-0.05479309,0.020268114,0.19263189,-0.9881796,-0.045504164,-0.06708873,-0.19669856,0.2990293,0.3197811,-0.62386435,-0.111331396,-0.077288195,0.5121273,0.09434242,0.32029152,-0.954461,0.124274045,-200.0,-200.0,200.0,200.0,-200.0,2.3314176161040265,16.519874163671773,200.0,-200.0,200.0,-200.0,-16.840316389938607,0.029613173,0.0010210606,-0.82040423,1.6424159,-0.90782213,0.049148407,-0.048074726,-0.005364979,-0.79845774,1.6242806,-0.9090181,-0.010316033,3.4113014,0.40777835,-3.4953644,7.253026,-19.438993,4.3601923,-8.873732,-1.0958618,0.40536228,3.8526378,-19.763592,-0.9100833
3,0.02295118,-0.57422847,-0.011340688,-0.017584978,-0.0039916886,-0.9998374,1.0,0.0,0.0,0.020887895,0.00524281,-0.034623444,0.120826244,-0.2857383,0.014575749,-0.088571,-0.015080094,0.019082129,0.08183253,-0.3725266,0.02919268,-0.14296328,0.011056275,0.015327252,0.38370776,-0.74354666,-0.2680174,-0.049776707,-0.02984238,0.12419027,0.3604854,-1.2686542,0.20499618,-0.17372218,0.08050236,-0.45037133,-0.18996462,0.28847653,-0.25540626,0.51705647,-0.0801671,-0.6754154,-0.45551825,0.58792096,0.14062667,89.71065318934342,200.0,37.92058658439346,143.07844756959963,104.63019806977013,-15.338372568645411,-46.058067890602416,-200.0,200.0,23.367993558391902,69.87523506592152,14.10631215157656,0.020887895,0.00524281,-0.83462346,1.7208263,-1.0857383,0.014575749,-0.088571,-0.015080094,-0.7809179,1.6818326,-1.1725266,0.02919268,-2.8592653,0.2211255,0.30654505,7.674155,-14.870933,-5.360348,-0.9955341,-0.5968476,2.4838054,7.209708,-25.373085,4.0999236
4,0.010622333,0.11679251,-0.24217324,-0.02533001,-0.0046219444,-0.9996685,1.0,0.0,0.0,-0.03558576,0.01469212,-0.055562615,0.17992723,-0.32581407,-0.07392592,-0.04320417,-0.023267677,0.022734702,0.13666272,-0.5179803,0.06820481,-0.29340294,0.067334265,-0.20811331,0.22540306,0.24382544,-0.3988574,0.4560164,-0.047542024,-0.06889113,0.20776956,-0.28506976,0.1636352,0.37675318,-0.30787814,0.6767612,-0.77820855,0.43066198,0.2198623,-0.21755359,0.31961423,0.040149905,-0.7480042,0.97558236,-0.39771426,200.0,-70.0721609264479,-200.0,-200.0,200.0,-19.390256752058292,12.810399776878,71.09175607209536,-200.0,-200.0,200.0,36.99571934384164,-0.03558576,0.01469212,-0.8555626,1.7799273,-1.1258141,-0.07392592,-0.04320417,-0.023267677,-0.7772653,1.7366627,-1.3179803,0.06820481,-5.8680587,1.3466853,-4.1622663,4.508061,4.8765087,-7.977148,9.120328,-0.9508405,-1.3778226,4.155391,-5.701395,3.272704
5,-0.042646553,-0.1850714,-0.13086346,-0.028200615,-0.004181786,-0.99959356,1.0,0.0,0.0,-0.038487297,0.015229649,-0.06621748,0.1913681,-0.17223513,-0.044550087,-0.00865728,-0.020082688,0.029990971,0.15158951,-0.46888834,-0.008728631,0.20948724,-0.049263764,0.061719794,-0.08131755,1.1762092,0.5244028,-0.059175707,0.06802813,0.09411781,-0.023900537,0.6817402,-0.7787195,0.31945938,0.052173287,-0.17279358,-0.48116192,-0.11722471,0.31621847,-0.9496097,-0.09208828,-0.11273079,-0.87153,-0.17654365,-0.1176351,-200.0,200.0,-61.29104425808384,-200.0,200.0,-66.45120944093435,200.0,-200.0,200.0,-200.0,146.9391685670114,57.49957524080014,-0.038487297,0.015229649,-0.8662175,1.7913681,-0.97223514,-0.044550087,-0.00865728,-0.020082688,-0.77000904,1.7515895,-1.2688884,-0.008728631,4.189745,-0.98527527,1.2343959,-1.626351,23.524183,10.488055,-1.1835141,1.3605626,1.8823563,-0.47801074,13.634805,-15.574389
6,0.013337004,0.45969766,-0.06359389,-0.020655297,-0.0042417664,-0.9997777,1.0,0.0,0.0,0.047792815,0.0044816504,-0.074089766,0.15933323,-0.04122585,0.077059366,-0.0722224,-0.016801836,0.026242971,0.13049173,-0.3658101,-0.07197514,0.5354323,-0.052445274,-0.09890199,-0.23054986,0.22787929,0.52132183,-0.537749,-0.0065461025,-0.10392856,-0.17042337,0.41844007,-0.10790403,-0.33063564,0.1424489,0.4457762,0.13760191,-1.1749524,-0.294688,0.69498366,-0.045130193,0.5064834,0.00022019446,-0.97561634,0.54397583,-200.0,-145.92810388490238,-195.0646990877898,-200.0,-41.457149584612125,22.994131661941054,29.722543775898316,146.22069051182046,-110.12556287251218,-200.0,-200.0,-45.301779594368384,0.047792815,0.0044816504,-0.8740898,1.7593333,-0.84122586,0.077059366,-0.0722224,-0.016801836,-0.77375704,1.7304918,-1.1658101,-0.07197514,10.708646,-1.0489055,-1.9780397,-4.610997,4.5575857,10.426436,-10.75498,-0.13092205,-2.078571,-3.4084673,8.368801,-2.1580806
7,-0.15739463,-0.29440996,-0.04499307,-0.018947568,-0.0010809749,-0.9998199,1.0,0.0,0.0,0.09816,0.014919188,-0.06406999,0.12412107,-0.10463327,0.069225855,-0.11337852,-0.025467757,0.034541488,0.11253035,-0.38304645,0.025717242,0.02036318,0.14330745,0.17148528,-0.13843112,-0.7624981,-0.49656877,0.0631436,-0.07113918,0.16922997,-0.046696994,-0.49671564,0.9840603,-0.85206425,-0.32828963,-0.107308984,0.96193326,-0.6857621,-0.14915591,0.5356851,-0.39874828,0.21374366,0.35796177,-1.0619235,-0.058349457,200.0,27.768915994988085,200.0,-194.58484759966097,-200.0,195.99097617853715,-200.0,134.68035908621795,200.0,167.43782624672534,-200.0,-200.0,0.09816,0.014919188,-0.86407,1.7241211,-0.9046333,0.069225855,-0.11337852,-0.025467757,-0.7654585,1.7125304,-1.1830465,0.025717242,0.40726358,2.866149,3.4297054,-2.7686224,-15.249962,-9.9313755,1.262872,-1.4227835,3.3845994,-0.9339399,-9.934313,19.681206
8,0.5023431,-0.3937519,-0.29948303,-0.03437493,-0.0099938065,-0.999359,1.0,0.0,0.0,0.054996293,0.014811685,-0.047869742,0.1602869,-0.28711468,-0.029292688,-0.05483259,-0.06330002,0.06478447,0.15415657,-0.55112344,0.09729651,-0.40951952,-0.11471733,-0.003127278,0.34145817,-0.86432594,-0.28203192,0.5102117,-0.29075974,0.17924784,0.25073436,-1.06653,-0.06716118,0.097194314,0.29877436,-0.30309507,-0.5360536,0.6766261,0.28465697,-0.2393963,1.5016273,-0.8340785,-0.7495448,0.66162616,-0.52190465,200.0,-200.0,133.85756437484653,175.83032938646247,3.553529844474042,-200.0,-200.0,-200.0,-133.2514355828731,200.0,64.33782942011214,61.22425611694163,0.054996293,0.014811685,-0.84786975,1.7602869,-1.0871147,-0.029292688,-0.05483259,-0.06330002,-0.73521554,1.7541566,-1.3511235,0.09729651,-8.190391,-2.2943466,-0.06254556,6.829163,-17.286518,-5.6406384,10.204234,-5.8151946,3.5849566,5.014687,-21.330599,-1.3432236
9,-0.10130245,0.2917,-0.27931938,-0.034771297,-0.017233422,-0.9992467,1.0,0.0,0.0,0.026213305,0.012814845,-0.07302517,0.20738316,-0.3511805,0.017305117,-0.007051,-0.08980025,0.07445532,0.19273984,-0.6564819,-0.02580467,0.048310183,0.08565273,-0.22200643,0.15008631,0.124432914,0.5448676,0.015040271,-0.012508166,-0.072589025,0.14862834,-0.086590126,-1.0062522,0.8631909,-0.15945141,0.6550825,-0.79803383,0.31222278,0.3965947,-1.1188943,0.5534998,0.20471701,-0.7717411,0.45252424,0.41180727,-200.0,200.0,-200.0,-200.0,200.0,-58.00617401801196,123.26615814184504,200.0,-200.0,-200.0,200.0,21.041054977305976,0.026213305,0.012814845,-0.8730252,1.8073832,-1.1511805,0.017305117,-0.007051,-0.08980025,-0.7255447,1.7927399,-1.4564819,-0.02580467,0.96620363,1.7130547,-4.4401283,3.0017262,2.4886582,10.897351,0.30080542,-0.25016332,-1.4517804,2.9725666,-1.7318025,-20.125042
