step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-2.4866906e-06,-0.008722735,-2.4398057e-06,-3.0518413e-10,-5.3683747e-21,-1.0,0.0,0.0,0.0,6.607656e-08,4.4072568e-08,-0.00030988455,0.0007978678,-0.00041741133,-1.5394326e-07,-1.7305801e-07,-5.8943833e-08,-0.00030994415,0.000797987,-0.00041764975,1.0338282e-06,1.651914e-06,1.1018142e-06,-0.0077473386,0.019948069,-0.0104477815,-3.8485814e-06,-4.3264504e-06,-1.473596e-06,-0.007748369,0.01994983,-0.01045356,2.5845704e-05,1.2060602,1.8438395,-0.49915615,2.1252449,-1.8702323,1.0577466,0.25968996,1.653996,-0.4175696,-0.0075878054,-1.8780506,1.0838248,-4.335490335542994e-13,1.637947246946651e-13,0.0009424787559275671,0.0029955617288912606,-0.14198367658813105,-5.849543320324509e-12,2.491831419134814e-14,-7.021575521688578e-15,0.0009424787559275671,0.0029955617288912606,-0.14198367658813105,4.588981291300362e-13
1,-0.39874583,0.13021061,-0.07842662,0.0027665095,0.016862417,-0.99985397,0.0,0.0,0.0,0.05201111,0.024605958,-0.019092262,0.039947987,-0.09409058,0.09130016,0.015669772,0.021614049,-0.007543385,0.019013524,-0.06996554,0.059898823,0.22999346,0.099695645,-0.09634455,0.16935888,-0.46831226,0.45858842,-0.061971057,0.11444775,-0.023162587,0.0024377534,-0.32470807,0.27509165,1.8272519,2.278287,-0.47129697,1.4324626,-2.029738,1.9607009,-0.38973832,5.323902,-0.35553637,-0.4293381,-1.9346476,0.39170417,-4.335490335542994e-13,1.637947246946651e-13,0.0009424787559275671,0.0029955617288912606,-0.14198367658813105,-5.849543320324509e-12,2.491831419134814e-14,-7.021575521688578e-15,0.0009424787559275671,0.0029955617288912606,-0.14198367658813105,4.588981291300362e-13
2,-0.69667965,-0.037141334,-0.120051675,0.0059618256,0.039370097,-0.9992069,0.0,0.0,0.0,0.07141326,0.053419184,-0.025355458,0.057873964,-0.1255508,0.12325926,0.014368238,0.069324836,-0.011484861,0.017586112,-0.07532078,0.04959572,-0.0048817727,0.20396553,0.03987321,0.034688782,0.05279274,-0.048207548,0.072430484,0.30786547,0.053364005,-0.08113519,0.16860612,-0.26149413,0.52075213,2.3981345,-0.38023293,0.82451314,-1.265417,-3.0091376,-0.54342115,8.196842,-0.71746707,-1.0113435,-0.74460274,-1.8928596,422.89478107971223,-57.22658064978884,-154.98518934888097,500.0,-500.0,500.0,-500.0,381.74227725460406,-161.9616234356469,-105.88115782743301,-500.0,500.0
3,-0.8483667,0.19299081,0.2636249,0.013580387,0.07134162,-0.9973595,0.0,0.0,0.0,0.075310856,0.089866996,-0.03860396,0.07686055,-0.23017985,-0.022928571,-0.030410573,0.15502076,-0.017027795,0.012520909,-0.093461394,0.03875669,-0.31565,0.19740437,-0.066260934,0.1961224,-1.0686716,-1.5389508,-0.4815776,0.51239103,0.020143751,-0.10061171,-0.26922426,0.10938986,-0.95689434,1.6573118,0.206684,-1.3393364,-1.1798329,0.40880775,-1.8605571,8.763097,-1.5605689,0.26639563,-0.34829807,2.8360844,-500.0,500.0,500.0,-500.0,500.0,-500.0,500.0,396.56410751236035,500.0,-500.0,500.0,-500.0
4,-0.41354576,0.36395004,0.20876114,0.02292368,0.09394662,-0.9953133,0.0,0.0,0.0,0.007215273,0.105839975,-0.036254168,0.07772672,-0.22919756,-0.072033286,-0.048260685,0.22982094,-0.036281288,0.017402768,-0.08101207,0.061391,-0.4058847,0.0054097674,-0.045326304,-0.029367063,0.41390228,0.40760756,-0.18205948,0.32899752,-0.15316558,0.08690285,0.2675278,0.29149094,-2.302579,2.4640117,1.6534421,-3.0171156,0.46793145,0.6204988,-2.3560681,6.5176287,-0.9400128,0.4084196,-0.4821028,-1.1602951,-500.0,-500.0,500.0,289.10485904280716,-318.00287377157656,-500.0,-276.52511732059156,500.0,-326.08522572166174,-500.0,-500.0,500.0
5,-0.35453016,0.0341335,-0.31880438,0.028391143,0.11758669,-0.9926567,0.0,0.0,0.0,-0.11469865,0.12945682,-0.023386002,0.06625605,-0.09230906,0.04293004,-0.117129475,0.31378722,-0.032765806,0.017422915,-0.08409965,0.059087656,-0.23723929,0.06138116,0.10217797,-0.05069847,-0.07588589,-0.31154513,0.06141595,0.2748537,-0.107226945,0.07507566,-0.20239702,-0.18201593,-2.3190696,0.43315786,2.2509053,-0.19254684,0.8346458,3.5908334,-0.11998659,8.519427,-1.5332664,1.7478187,-1.3822484,2.1144824,500.0,-500.0,-448.56824035381567,-500.0,500.0,500.0,-500.0,-334.9555485619703,-500.0,500.0,500.0,500.0
6,-0.33437428,-0.16293025,-0.21774876,0.021795876,0.13273683,-0.99091166,0.0,0.0,0.0,-0.14363511,0.13223235,-0.010284066,0.07767558,-0.0604254,0.1363881,-0.13278742,0.3839791,-0.039783657,0.039212584,-0.10506803,0.1537059,-0.410425,0.0168594,-0.0108151445,0.18853198,0.033478495,1.0588101,0.060620304,0.3599729,-0.15675876,0.25074524,-0.68187195,1.2413546,-2.0474393,0.031070143,1.5422306,-0.66760975,-1.104639,0.47605592,-2.5894716,9.553015,-1.7528186,0.41677034,-1.7175236,-0.4818695,500.0,173.1524386069117,487.6873138367439,-500.0,-500.0,-500.0,156.07327134432273,-500.0,-452.04970964883586,500.0,-500.0,-500.0
7,-0.11020871,-0.26329228,-0.34055457,0.011627179,0.14289813,-0.9896691,0.0,0.0,0.0,-0.15910596,0.12586541,0.007447779,0.07057202,-0.111251056,0.1379549,-0.1444192,0.45736453,-0.043872535,0.048434377,-0.10396063,0.18745105,-0.19998382,-0.08118489,0.1573448,-0.1068761,-0.4483799,-0.38014385,-0.17166215,0.33628687,0.03192803,0.066014975,-0.1875583,-0.22357337,-0.9872497,1.8303239,1.0442622,-0.6172366,-2.6235514,-1.98057,-1.9300247,9.76925,-2.367055,0.5402166,-3.429286,-3.8666375,-500.0,-43.480846037405705,500.0,-225.3738618588428,500.0,500.0,203.29564644000425,500.0,-500.0,500.0,-500.0,500.0
8,-0.5276167,0.09384309,-0.5415045,0.007238519,0.15883486,-0.98727864,0.0,0.0,0.0,-0.16524562,0.13771531,0.012930036,0.06800306,-0.14246237,0.118196286,-0.13106325,0.5396292,-0.06253278,0.047992468,-0.107687056,0.1687846,0.08466479,0.122608006,-0.057517935,0.050282527,0.039090786,0.09208491,0.2210835,0.44836193,-0.19675982,-0.018419756,0.17776065,-0.28548858,-2.4555771,1.9179125,1.9911783,-2.0612605,-0.70184547,-0.9453524,-2.2293832,8.609974,-3.0330155,0.5237314,-2.8092785,0.012592226,-500.0,-500.0,500.0,-500.0,-500.0,-500.0,-500.0,-500.0,500.0,402.26256131505704,-500.0,-500.0
