step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,-5.600055e-06,-0.0086880475,-2.1612577e-06,2.0290571e-09,3.2151803e-20,-1.0,0.0,0.0,0.0,4.167765e-08,8.204719e-08,-0.00031018257,0.00079762936,-0.00041812658,-9.9950746e-08,-2.2947006e-07,-1.2625935e-07,-0.00031036139,0.0007978678,-0.0004181862,2.0327566e-06,1.0419413e-06,2.0511795e-06,-0.0077551017,0.019941244,-0.01044847,-2.4987687e-06,-5.7367515e-06,-3.1564837e-06,-0.0077598463,0.019948317,-0.010449616,5.0818915e-05,1.2060602,1.8438395,-0.49915615,2.1252449,-1.8702323,1.0577466,0.25968996,1.653996,-0.4175696,-0.0075878054,-1.8780506,1.0838248,1.5916029854778838e-13,-7.299214185695231e-14,0.0016740067838583172,-0.0029035125255205685,0.05433521975195532,2.173515062665421e-12,-6.866681070413818e-14,5.044153527022019e-15,0.0016740067838583172,-0.0029035125255205685,0.05433521975195532,-5.476644419748743e-13
1,-0.2031982,-0.081662625,-0.022041678,0.0021449926,0.014633095,-0.9998906,0.0,0.0,0.0,0.04644433,0.018865352,-0.017768562,0.037928104,-0.09387106,0.091935374,0.013970658,0.018567864,-0.0046919584,0.01780665,-0.07025027,0.059826475,0.20569265,-0.0029065602,0.01708156,0.0897379,-0.46901646,0.4723386,-0.0859321,0.0644206,0.0845718,-0.03304559,-0.33140767,0.2729188,1.827234,2.278267,-0.4712511,1.4325188,-2.0297418,1.9606724,-0.3897363,5.3239117,-0.35554823,-0.42929178,-1.9346437,0.3915933,1.5916029854778838e-13,-7.299214185695231e-14,0.0016740067838583172,-0.0029035125255205685,0.05433521975195532,2.173515062665421e-12,-6.866681070413818e-14,5.044153527022019e-15,0.0016740067838583172,-0.0029035125255205685,0.05433521975195532,-5.476644419748743e-13
2,-0.97596323,0.2006096,-0.29464254,0.0066334233,0.04207827,-0.9990923,0.0,0.0,0.0,0.07566619,0.058657024,-0.045268178,0.08662367,-0.16295987,0.16259488,0.024208918,0.068701856,-0.007593453,0.015257716,-0.073112905,0.04178015,0.42537948,0.31621668,-0.31053314,0.54462945,-0.8937607,0.92138463,0.1375659,0.3081976,-0.042916384,-0.05411328,0.21432076,-0.36662087,1.0033734,2.0200448,-0.84463555,0.86165375,-1.5013533,-3.301121,0.10124922,8.411109,-0.24908109,-1.3851216,-0.5253448,-1.9547205,-500.0,-454.6349842507168,500.0,280.12018446844866,-500.0,500.0,-500.0,476.17062279534923,311.41138751903145,-117.72213696543776,-500.0,500.0
3,-0.8239805,0.033134963,-0.055462442,0.007265383,0.08435252,-0.9964095,0.0,0.0,0.0,0.11009055,0.13008052,-0.082500935,0.17669594,-0.37552768,0.13285817,0.037034795,0.1378714,-0.0061678886,0.0066468716,-0.07869184,-0.004888488,0.068952374,0.23618613,-0.04000768,0.1953997,-0.28198406,-0.5182943,-0.09145833,0.3220114,-0.013137102,-0.02978991,-0.21237254,-0.05496621,-0.6620766,3.961374,-1.1960483,-1.26934,-0.81125313,-3.2143717,-0.7076708,6.407323,-1.0790099,-0.59390885,-0.3993979,2.6869802,500.0,500.0,-186.2726272840798,500.0,-500.0,500.0,284.8894153543812,-303.86217978739205,-369.11746974140544,-442.7046775065384,500.0,-500.0
4,-0.59499013,0.4395572,0.17022124,0.018494846,0.11165029,-0.99357545,0.0,0.0,0.0,0.10208346,0.1632233,-0.09029788,0.17040205,-0.37186295,0.08920425,0.048598707,0.18682125,-0.028512895,0.00213027,-0.057914257,0.03678798,-0.108178906,0.1176829,-0.11114764,-0.040778633,0.22028959,-0.020294828,0.16718106,0.17963104,-0.2214381,0.076213054,0.32773325,0.36015493,-1.3367112,3.897869,0.12243861,-2.4151225,0.4364515,0.32873735,-2.2537475,5.674064,-1.1022336,-0.35034484,0.21311724,-0.9075098,500.0,-500.0,131.97723105314395,-500.0,500.0,-500.0,-500.0,500.0,-403.6908075652987,58.94841017682268,-500.0,500.0
5,-0.67191255,0.23113208,0.36538395,0.027119368,0.14196506,-0.9895001,0.0,0.0,0.0,0.04547538,0.21430093,-0.072808504,0.13550556,-0.38746995,0.079011604,0.015931593,0.23929052,-0.031238675,-0.0044766665,-0.050528288,0.048685808,-0.051514078,0.16608657,0.026115984,-0.18371896,-0.26653913,0.15973397,-0.32633135,0.24989092,0.046732094,-0.08598566,-0.15736085,-0.13979186,-1.2217889,2.1628048,0.44455487,-1.1981283,1.1311946,-0.43481675,-0.21511796,6.8215084,-2.522887,2.4996383,-1.9530497,1.5963758,-500.0,-500.0,-430.33604799846285,255.63582615857706,500.0,500.0,500.0,-380.9406966378988,-356.2384828083713,465.77476780038114,500.0,500.0
6,-0.7090865,0.14250638,0.25127307,0.03584897,0.16526262,-0.98559785,0.0,0.0,0.0,0.03707544,0.23243791,-0.06904274,0.12249935,-0.3844716,0.055416424,0.0041806027,0.2922203,-0.054857314,0.01992011,-0.024016976,0.076800875,-0.19835508,0.15624759,0.0061787455,0.030237982,0.1995965,-0.3235752,-0.21600993,0.33395532,-0.030301172,0.062370416,0.32694042,0.32411093,-1.4538963,-2.4535046,-0.4606331,0.7489513,-0.91890824,-0.80895096,-0.7473624,8.208846,-1.0650367,-0.23017599,-1.0661902,2.1688335,500.0,-500.0,-182.50315810704973,-316.6345674220586,-500.0,500.0,-500.0,500.0,500.0,-500.0,-500.0,-500.0
7,0.0,0.0,0.0,0.052232187,0.1841342,-0.9815123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2157297,-1.8260269,-0.65108347,-0.79412264,-1.2859071,1.283535,-2.125575,7.7029123,-0.8265461,-1.4505866,1.142065,0.81860197,-500.0,500.0,-215.85325324063638,500.0,500.0,-500.0,-500.0,500.0,500.0,-500.0,500.0,500.0
8,-0.2467224,0.22146532,-0.44778386,0.06811458,0.19623175,-0.9781889,0.0,0.0,0.0,-0.060617615,0.20989628,-0.08547765,0.13737214,-0.31192786,0.056797016,-0.07933924,0.42952445,-0.079972625,-0.0055344105,0.029574335,0.22026135,0.14583752,-0.10980608,-0.010628746,0.044047277,0.26389512,0.50519603,-0.036006983,0.3357298,-0.04188716,-0.13717227,0.39234814,-0.17168288,-0.4332717,-0.9137107,-1.0216813,-0.6859193,-0.89308304,1.613079,0.22793049,8.553414,-0.96555316,-1.236272,-1.0099478,0.9011625,294.0885844389502,-500.0,500.0,-500.0,500.0,500.0,269.2270321360037,400.0506567533871,500.0,-500.0,-500.0,-500.0
9,-0.06366197,0.5973101,-0.23226917,0.08435924,0.20305309,-0.975527,0.0,0.0,0.0,-0.07255283,0.18160519,-0.116601646,0.15518403,-0.24375647,0.30169594,-0.050518118,0.49544138,-0.109981775,-0.052165747,0.0038756132,0.22343968,-0.17231359,-0.2116199,-0.21911399,0.10576204,0.31909868,1.6105137,0.22259915,0.30646744,-0.24997275,-0.14892696,-0.1548467,0.23869221,-1.6646721,0.16061482,1.3777444,-2.977824,1.514035,-1.1704407,-2.750735,6.7487316,-2.6547968,0.107941106,-1.2124126,-0.0982683,500.0,-500.0,500.0,-500.0,500.0,-500.0,500.0,-500.0,-78.10060917910099,500.0,-500.0,-500.0
10,0.35700226,-0.06693576,0.32944617,0.0953466,0.19553602,-0.97605056,0.0,0.0,0.0,-0.22863825,0.14381194,-0.10082328,0.12782991,-0.014858305,0.32713857,-0.09186028,0.56099725,-0.12505984,-0.04919362,-0.08409369,0.17032911,-1.1900115,-0.1751365,0.29501864,-0.2989376,1.7044604,-0.8524235,-0.52590585,0.31698793,0.12914148,0.043385953,0.3383345,-0.27167943,-0.5985008,1.6269922,2.109926,0.019449111,-0.096300066,-5.3186107,-0.16477239,5.9980097,-3.023589,-2.5535662,-4.7931075,-0.60241735,-103.00667627935819,-500.0,-303.90124233657457,-500.0,85.6723326781701,435.4206806685378,238.12637771433916,500.0,-294.6233558436877,-500.0,-500.0,500.0
11,0.46396476,-0.20739926,-0.35233188,0.09480127,0.19069678,-0.9770606,0.0,0.0,0.0,-0.34538212,0.1441718,-0.085267425,0.1222657,-0.057608426,0.19572173,-0.11693716,0.6404219,-0.12590647,-0.07904172,-0.18588775,-0.13493499,-0.12840867,-0.19198433,0.11426308,-0.08828384,-1.056116,-1.0449249,-0.20882924,0.30255008,0.003368968,0.009754493,-0.11448916,-1.6958048,-4.3708982,-2.8727965,3.6726947,-0.24131846,1.3776493,8.214108,-2.0910232,5.198809,-1.837097,2.0056186,0.3357473,4.5662355,-500.0,-236.4495719747957,500.0,-500.0,500.0,-500.0,-500.0,500.0,-500.0,-172.5627344194689,500.0,-500.0
12,0.6387869,-0.4441459,-0.57155377,0.07226949,0.17423522,-0.98204845,0.0,0.0,0.0,-0.35410002,0.105265,-0.04869777,0.115220904,-0.05846435,0.21547945,-0.10498663,0.67045987,-0.14890063,-0.05467117,-0.1515317,-0.19956411,0.065893985,-0.26848242,0.09836922,0.023138316,0.38425222,0.6221296,0.2517825,0.03756939,-0.2950261,0.21629186,0.36573237,0.18395057,-0.932759,-2.2360775,5.179241,-3.245969,3.8579152,-2.8438156,-1.8064324,1.5257697,-3.8590567,-2.1721287,1.0048532,6.7902107,500.0,-336.3384270468838,500.0,-220.56621181531798,-500.0,-500.0,-500.0,-500.0,-132.80703574901622,500.0,500.0,500.0
13,0.59791,-0.40008208,0.00028287145,0.052719582,0.1527273,-0.98686117,0.0,0.0,0.0,-0.3585583,0.075020134,0.00018560886,0.07807839,-0.04087186,0.20008443,-0.1001332,0.6669195,-0.16454816,-0.06451833,-0.13385719,-0.10071059,-0.09214031,-0.13094474,0.25749233,-0.18391289,-0.11711015,0.109865785,0.06273375,-0.09380316,-0.16694759,-0.08495374,-0.09013195,0.70407844,1.6916654,2.2496593,3.3516862,2.2654445,-1.2827253,2.9862354,1.1079918,-2.0904734,-5.0668826,-7.5402684,-2.25779,3.3254712,500.0,-497.2601258046859,-500.0,500.0,500.0,500.0,500.0,-500.0,-500.0,500.0,500.0,-119.3998261016618
14,0.37010378,-0.22215608,0.23032914,0.042396996,0.13797955,-0.9895272,0.0,0.0,0.0,-0.32193047,0.08178423,0.023287058,0.08955276,-0.008823693,0.19310589,-0.05770184,0.6367817,-0.20180136,-0.12768841,-0.17044729,-0.08205565,0.27270678,0.09700907,0.03416033,0.1763857,0.347241,-0.25918147,0.07474495,-0.20024538,-0.14735384,-0.3070577,0.028758297,0.31582466,0.4710395,5.235416,4.467776,1.2664646,-0.9448015,1.8259767,1.594701,-2.9944348,-5.047336,-3.4984124,-4.708325,-2.1694624,-500.0,78.82274854876005,463.6691162470456,350.6999637870713,-500.0,500.0,-90.66475665932876,-370.4410502228053,-500.0,-315.2385155886441,-500.0,500.0
15,0.29262167,-0.37637317,0.48565298,0.027179096,0.12746371,-0.99147075,0.0,0.0,0.0,-0.28805324,0.120830856,0.06857985,0.09703934,0.00050598383,0.19578792,-0.019252818,0.5840395,-0.2492289,-0.154549,-0.2222907,-0.07420802,-0.038367335,0.22389756,0.22040081,0.025867475,-0.14466767,0.19388762,0.37020168,-0.37028202,-0.39322504,-0.053519633,-0.4518722,-0.14303254,-0.5555606,5.638762,3.030803,-2.3346522,-0.8603515,2.242949,0.2447676,-2.3805912,-5.4881797,0.36274725,-6.3509583,0.5425397,500.0,410.5377278594218,-500.0,500.0,500.0,-420.01080529373144,-500.0,-500.0,-500.0,-5.897464583885267,500.0,500.0
