step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,-2.4866906e-06,-0.008722735,-2.4398057e-06,-3.0518413e-10,-5.3683747e-21,-1.0,1.0,0.0,0.0,6.607656e-08,4.4072568e-08,-0.00030988455,0.0007978678,-0.00041741133,-1.5394326e-07,-1.7305801e-07,-5.8943833e-08,-0.00030994415,0.000797987,-0.00041764975,1.0338282e-06,1.651914e-06,1.1018142e-06,-0.0077473386,0.019948069,-0.0104477815,-3.8485814e-06,-4.3264504e-06,-1.473596e-06,-0.007748369,0.01994983,-0.01045356,2.5845704e-05,0.0039056542,0.026775854,-0.17894705,-0.017315246,-0.3989496,0.24987644,-0.022013899,0.16541305,-0.23907536,-0.06898407,-0.46821618,0.090979174,-4.335490335542994e-13,1.637947246946651e-13,0.0009424787559275671,0.0029955617288912606,-0.14198367658813105,-5.849543320324509e-12,2.491831419134814e-14,-7.021575521688578e-15,0.0009424787559275671,0.0029955617288912606,-0.14198367658813105,4.588981291300362e-13
1,0.2384904,0.2044919,-0.040093552,0.0068508587,-0.00070885656,-0.9999763,1.0,0.0,0.0,0.015150524,0.0008079188,-0.037942648,0.0530926,-0.1218701,0.061718654,-0.018845677,0.0014939265,-0.034777045,0.04437375,-0.116392314,-0.034308683,0.017318368,-0.06392896,-0.2595927,0.36247277,-0.90808386,0.46523783,-0.037730496,-0.08148324,-0.24621688,0.3195084,-0.838225,-0.08814694,0.051096916,0.0017725268,-0.269786,0.05305248,-0.61664045,0.32616383,0.0011421936,0.24567574,-0.26670408,-0.17782933,-0.55042404,0.23600437,-4.335490335542994e-13,1.637947246946651e-13,0.0009424787559275671,0.0029955617288912606,-0.14198367658813105,-5.849543320324509e-12,2.491831419134814e-14,-7.021575521688578e-15,0.0009424787559275671,0.0029955617288912606,-0.14198367658813105,4.588981291300362e-13
2,0.0070541822,0.054470446,-0.13459341,0.003167505,-0.0015949353,-0.9999937,1.0,0.0,0.0,0.022037627,0.004960668,-0.040373147,0.06302941,-0.1678639,0.07922771,-0.006015291,0.0029115817,-0.036231756,0.049294114,-0.14860606,0.0048328834,-0.06539607,0.0435182,-0.051179614,0.02797625,-0.42032692,-0.13333686,0.16325806,0.004377798,-0.08375144,0.06938339,-0.35134903,0.3930416,0.22020186,0.09661264,-0.33454567,0.47247824,-0.17471291,0.28972977,-0.29633525,0.20770648,-0.23305014,-0.3210192,-0.5002834,0.26213774,-500.0,-500.0,500.0,-500.0,500.0,-500.0,500.0,-500.0,500.0,-500.0,500.0,500.0
3,0.14818005,-0.21115182,-0.12949656,-0.0008725982,-0.0038694544,-0.99999213,1.0,0.0,0.0,0.040199246,0.003387801,-0.038181245,0.063850045,-0.1711008,0.11313956,-0.0040132785,0.004586708,-0.03357482,0.045323372,-0.16127557,0.023858547,0.19432501,-0.06188507,0.082835466,-0.06679716,0.20504642,0.37300265,-0.090987585,-0.011576146,0.08021099,-0.07991546,0.12854794,-0.101503685,0.046021238,0.046071306,-0.25397706,0.28194076,-0.26333216,0.29443237,-0.14335702,0.2611775,-0.2369718,-0.23481834,-0.39631003,-0.07408609,-500.0,438.5802539319237,-91.08475689751373,98.03463425039905,-500.0,-500.0,500.0,-46.28360332584455,-400.15059632729157,500.0,-500.0,500.0
4,-0.07448634,0.06262893,-0.1332021,-0.0026996636,-0.0045248396,-0.9999861,1.0,0.0,0.0,0.048108134,0.0068525216,-0.04330665,0.071697235,-0.18778944,0.12668906,0.008084342,0.007923801,-0.037687898,0.047413945,-0.1932326,0.06264229,-0.063366614,0.070506044,-0.09794664,0.11001537,-0.2757217,-0.13588065,0.1614688,0.036330473,-0.087695934,0.07023108,-0.35187152,0.39048344,-0.013516673,0.018157076,-0.20154484,0.0720823,-0.21286325,-0.19919573,0.19091715,0.2683459,-0.2232229,-0.27476487,-0.2511648,-0.033426777,500.0,-500.0,500.0,-500.0,500.0,500.0,-500.0,-177.9649692995904,500.0,-500.0,500.0,-500.0
5,0.15158345,-0.2076237,-0.13252519,-0.0066764527,-0.006985167,-0.9999533,1.0,0.0,0.0,0.066311315,0.0051881783,-0.041226506,0.07250798,-0.18534118,0.1605184,0.010161972,0.009297714,-0.035175025,0.043511868,-0.20607752,0.081862785,0.1937753,-0.060606565,0.082539424,-0.06655631,0.20416819,0.3726235,-0.09054164,-0.012415695,0.079416566,-0.078999475,0.12741491,-0.09991733,0.09856794,0.027976757,-0.24151878,0.3425669,-0.29663682,0.17260367,0.004552873,0.3165546,-0.20382252,-0.29550764,-0.30710536,-0.25280812,-500.0,500.0,-500.0,500.0,-500.0,-500.0,500.0,248.43782423574632,-500.0,500.0,-500.0,500.0
6,-0.078048535,0.049267795,-0.12212976,-0.008571489,-0.0074827755,-0.99993527,1.0,0.0,0.0,0.0742287,0.00914478,-0.04628426,0.08045316,-0.20217758,0.17392218,0.022382868,0.012642228,-0.039605916,0.0475446,-0.23669332,0.11896768,-0.06418584,0.071673945,-0.094614774,0.110224545,-0.27634975,-0.13682024,0.16369776,0.027865825,-0.09326271,0.12028344,-0.3151786,0.34653676,0.044875726,0.04279621,-0.16620436,0.08495838,-0.2092114,-0.2077292,0.17287984,0.27444547,-0.20525776,-0.2488109,-0.20753124,-0.28204608,500.0,-500.0,500.0,-500.0,500.0,500.0,-500.0,-242.1970342205064,500.0,-500.0,500.0,-500.0
7,0.020895442,-0.19264933,-0.04842981,-0.015007676,-0.008713574,-0.99984944,1.0,0.0,0.0,0.09224068,0.008851659,-0.035152197,0.069442034,-0.14689952,0.1692788,0.016599126,0.014615314,-0.027578294,0.043210864,-0.16997552,0.04824641,0.024662737,0.0123291155,0.09540492,-0.13037142,0.76600355,-0.6070119,-0.068697475,0.029755646,0.107264854,-0.10244777,0.9452869,-0.9897483,0.18312232,0.023041457,-0.19258602,0.34098217,-0.2841508,0.113020904,0.12957877,0.3459679,-0.24039519,-0.3029387,-0.27290723,-0.32032192,-500.0,500.0,-500.0,500.0,-500.0,-500.0,500.0,234.94418842591654,-500.0,500.0,-500.0,500.0
8,0.118602395,0.089694165,-0.020132564,-0.016059902,-0.009531426,-0.9998256,1.0,0.0,0.0,0.07144088,0.008595166,-0.039361954,0.0719074,-0.129134,0.18324745,0.03459964,0.0139971785,-0.026178956,0.043141365,-0.12745327,0.02819673,-0.20080273,-0.03370157,-0.09752433,0.08191921,0.28428802,-0.1269453,0.19159113,-0.05705551,-0.07390525,0.06988088,0.369956,0.05843341,-0.047982533,-0.04857791,-0.23385382,0.3726654,0.31716168,0.20531376,0.14072463,0.3756139,-0.27595127,-0.069909744,0.20183277,0.07935053,-151.52951482836596,3.5330182634576954,2.434561810103819,-115.10048216315383,289.2592398560965,-500.0,41.59743104043531,110.9751306728632,-31.043446935625994,-223.01678898576282,359.44809858509205,-367.13603959761053
9,-0.112237126,-0.20180917,-0.030292382,-0.019438861,-0.009015685,-0.9997704,1.0,0.0,0.0,0.06107933,0.009113888,-0.03737706,0.070842385,-0.13090497,0.21715058,0.041571803,0.018765543,-0.016781747,0.036675096,-0.11192602,-0.020827595,0.046363678,0.03206257,0.08167843,-0.06281892,-0.20427716,0.36661634,-0.06900392,0.08089524,0.12789133,-0.10143713,-0.11711657,-0.4477683,0.15185004,-0.020577857,-0.17934972,0.18019736,-0.12473598,-0.17463617,0.23084448,0.32523555,-0.30402148,-0.2942985,-0.38712892,-0.11990331,-500.0,-288.99240439844806,-500.0,500.0,500.0,-500.0,500.0,-500.0,-500.0,500.0,500.0,69.8773165550736
