step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,7.3368655e-16,-1.7811991e-16,-0.00056636333,0.0012165308,-0.008499324,1.2304617e-16,6.948549e-16,-1.6616677e-16,0.00035369396,-0.0012334585,0.012701869,1.1534523e-15,2.3181005e-14,-3.4466328e-15,-0.031629678,0.06483086,-0.23673849,3.3708178e-15,2.2012499e-14,-2.744529e-15,0.009590915,-0.03288022,0.39690405,3.1920223e-14,0.026037693,0.17850569,-1.1929803,-0.11543497,-2.659664,1.6658429,-0.14675932,1.1027536,-1.5938357,-0.4598938,-3.1214411,0.6065278,5.717819603738509e-11,-8.07268640514504e-12,-228.35077282745075,423.1055313632681,-271.0417932677635,2.678168617358365e-12,5.5912737217142886e-11,5.919591235999292e-14,80.64024586208585,-171.82432243587266,500.0,3.397549191886235e-11
1,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.011529087,0.000404915,-0.0092125535,-0.0003951788,0.005215347,0.058184247,0.0011286774,0.00937476,-0.011919558,-0.00083982944,-0.039736748,0.017248807,0.19738534,-0.015659822,-0.020407451,-0.07061095,0.26516718,0.49209586,-0.099649236,0.061919786,-0.12487211,0.06085484,-0.059708145,0.27434486,1.3391008,-0.010226265,-0.4454745,-0.23172474,-2.2496917,-0.14425182,0.82902336,2.1544576,-3.4230242,-0.081273675,-3.3349044,2.5968843,500.0,-216.26828339458245,351.7032953060884,-500.0,500.0,500.0,-500.0,87.67679370111847,-473.2079747259987,500.0,500.0,500.0
2,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.020478547,0.0011839085,-0.014696181,-0.0040609837,-0.0010078549,0.08227184,0.004517613,0.028805124,-0.040885687,-0.0019881725,-0.1060189,0.012114879,-0.048131965,0.0087758945,-0.0537949,0.03672796,-0.2254986,0.39032957,0.11183294,0.09076119,-0.115872756,-0.07544303,-0.52184427,-0.21727705,0.5008992,0.2203141,-2.27637,1.0157377,-3.8737538,-0.57733643,0.3672973,2.8025901,-1.0553137,-1.8453825,-2.0135896,-0.66673136,-500.0,101.17034383086425,-328.27935864858546,500.0,-500.0,500.0,500.0,-121.26293171803468,342.5839326723435,-500.0,-500.0,-500.0
3,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.037907317,0.0026193154,-0.0364213,0.010524631,-0.020903528,0.094286755,-0.008581197,0.05550135,-0.05041951,-0.026638865,-0.13306224,0.024186637,0.18195203,-0.0018832622,-0.15529327,0.13234916,0.097068116,-0.14196716,-0.1715278,0.1490914,0.0066875494,-0.1883422,0.08057226,0.25037318,0.44993174,-0.1173435,-1.1791674,1.4288249,-3.528383,-1.0466317,-0.0565912,3.0366774,-1.2739619,-3.1922731,-3.3974407,1.488473,500.0,-109.45902419552847,-500.0,500.0,500.0,-500.0,-500.0,161.40201357705791,431.8884160489262,-500.0,500.0,500.0
4,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.047591142,0.0020838764,-0.047950625,0.017759442,-0.061753273,0.1240689,-0.01168048,0.08208936,-0.060965538,-0.05079508,-0.17347443,0.016634608,-0.047659818,0.0074624494,0.0016436666,-0.022040205,-0.40446877,0.34017247,0.09700497,0.112801395,-0.09719177,-0.060476433,-0.39203462,-0.22799997,1.9197775,0.021536842,0.64869595,-0.053583674,-1.8049171,0.19527766,1.941788,2.8350496,-1.6540427,-2.0798488,-2.0863094,-0.8040296,-500.0,140.71463543900393,500.0,-500.0,-500.0,500.0,500.0,-231.56251881447747,-500.0,500.0,-500.0,-500.0
5,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.065453656,0.0015746556,-0.041040838,0.014378667,-0.08697969,0.13449039,0.0077672745,0.105259866,-0.07413733,-0.07493305,-0.1941256,0.028724615,0.18470593,-0.012947801,0.052018013,-0.04085184,0.065193556,-0.13820587,0.22037883,0.07747563,-0.05617829,-0.1719229,0.09040593,0.26232636,1.0712502,-0.19823425,-1.477901,0.5041276,-3.7702644,-0.6835209,-0.7043309,3.2325687,-0.86709356,-1.0748484,-0.45319825,0.7902874,500.0,-142.2406232245007,92.55572894890986,-210.67786317810678,500.0,-500.0,500.0,-354.3556683003669,200.31079081520465,-452.4562087333499,500.0,500.0
6,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.06868214,0.000567615,-0.049874663,0.023595095,-0.12876928,0.16423342,0.0081736725,0.13426755,-0.08248818,-0.08888185,-0.23617429,0.01973547,-0.08571213,0.0037127247,-0.065832175,0.04600578,-0.39484912,0.3399472,-0.1351586,0.18724973,0.028983561,-0.1430234,-0.40807685,-0.24743846,2.331465,-0.56466126,0.58114135,-0.2612768,-1.8252258,-0.08633798,0.96367,2.6697853,-1.4218054,-1.2418892,-0.12067515,-1.079271,-500.0,133.152144793265,-140.69921964890585,141.4166735629343,-500.0,500.0,-500.0,490.299396180725,500.0,-500.0,-500.0,-500.0
7,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.08284477,-0.0052880724,-0.045055747,0.014780164,-0.15238494,0.17628667,0.025088299,0.1550944,-0.093872726,-0.09998536,-0.24658126,0.031989913,0.16825156,-0.042125538,0.046828542,-0.05193184,0.06929453,-0.13010703,0.2263548,0.05243438,-0.11932655,0.00969439,0.15990835,0.2652772,1.472975,-0.60651827,-1.3542613,0.016239382,-2.4915519,-1.0795087,-0.8280884,3.2029586,-1.111134,0.2391697,1.0735383,0.61399937,500.0,-147.02766866059736,155.71485585234157,-177.63337786603418,500.0,-500.0,500.0,-500.0,-500.0,500.0,500.0,500.0
8,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.08740863,-0.010342231,-0.05288613,0.019491911,-0.1935144,0.189493,0.021102477,0.18192929,-0.10288608,-0.09565854,-0.27183682,0.023614407,-0.0745718,-0.013694716,-0.055671394,0.013748285,-0.39183077,0.25707865,-0.16542494,0.18321674,0.025140604,-0.037810616,-0.31390536,-0.24466193,2.4067256,-0.7850243,0.39253378,-0.7410414,-1.5866737,-0.78282285,1.0603757,2.629167,-1.4654633,-1.0438769,0.56489825,-1.2282764,-500.0,150.4379075548561,-126.99063522644889,85.64509545830833,-500.0,500.0,-500.0,500.0,500.0,-500.0,-500.0,-500.0
9,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.103304274,-0.018187933,-0.048341155,0.005409956,-0.21602958,0.18443365,0.035634313,0.20074038,-0.1112901,-0.102672696,-0.27516776,0.03634933,0.17898105,-0.052313056,0.055954475,-0.1013925,0.07547026,-0.2154897,0.21867621,0.040867608,-0.11001922,0.024467345,0.18058652,0.2671075,1.9222567,-0.7048036,-1.2566262,-0.40687338,-1.7425349,-0.98340094,-0.3552488,3.072987,-1.3204676,0.35860518,1.577456,0.44785225,500.0,-157.29085541251922,261.2498200704281,-354.8553939677213,500.0,-500.0,500.0,-500.0,-500.0,500.0,500.0,500.0
