step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.582608e-05,0.0012920402,1.1921543,1.0741433,0.0042169597,-0.00021053404,6.1113526e-05,0.0020836648,1.1906246,1.0728502,0.0041135713,0.00018121366
1,1.7819514e-10,2.5033953e-09,1.5950624e-10,0.0,0.0,-1.0,1.0,0.0,0.0,-5.128821e-12,3.845257e-11,0.0,0.0,0.0,-5.6053365e-12,1.2359161e-12,-1.171933e-11,0.0,0.0,0.0,5.101371e-12,1.22225355e-11,2.618054e-10,1.0820875e-11,-1.2765617e-09,-9.345064e-12,1.236098e-11,-8.41267e-12,-1.2425547e-10,1.5311599e-10,-1.8024923e-09,1.28928925e-11,-7.658496e-12,-0.50284183,-0.7042803,-0.548574,-1.6701397,-0.70770407,0.7285295,0.29135427,0.5378571,0.33056033,-0.9110279,-0.45335993,-0.30198398,1.56871e-07,-6.998078e-07,4.057309,-12.409887,1.516516e-07,2.6482589e-08,2.60205e-08,1.0158352e-06,4.057309,-12.409887,1.446447e-07,-1.85982e-08
2,0.07181619,-0.09390554,-0.2454504,-0.0020398423,-0.0015108404,-0.99999666,1.0,0.0,0.0,-0.03243636,-0.012426479,-0.0011893511,0.011585116,-0.05440879,0.05410778,0.035050232,0.0062814075,0.0070842505,0.004139304,-0.06196636,-0.048748218,-0.2984734,-0.115850285,-0.008057564,0.101515375,-0.49280792,0.4912221,0.32093474,0.056574356,0.06657736,0.033172797,-0.56696475,-0.44842154,0.6896988,-1.2494824,1.0846192,-0.54572916,-0.115238555,0.5863092,-0.32030204,0.9932445,-1.3094213,0.43548402,0.59896123,-0.6769207,-201.93779,-406.7412,30.792023,122.679016,-147.48183,147.13712,175.0462,348.25818,49.94072,277.1767,-158.826,-101.05065
3,-0.10318235,-0.20546365,-0.054545633,-0.008675009,-0.00054011284,-0.9999622,1.0,0.0,0.0,-0.052758757,-0.033564217,0.0027813911,0.027972698,-0.07964045,0.17833616,0.05194002,0.033822298,0.0043469667,0.039001465,-0.10273403,-0.18946066,0.05929773,-0.09888052,0.06916209,0.026140332,0.17220156,0.44943982,-0.104300015,0.19905002,-0.08148911,0.2873461,0.09237252,-0.63517034,-0.54247934,0.9943644,1.0107324,0.13830556,-1.2946441,0.07862477,0.8686082,-1.305122,-1.405767,-1.3026218,0.7713046,0.30885005,200.5402,-200.95175,205.5185,-216.92096,200.07751,-200.16486,-198.9569,218.18425,-176.1982,182.26053,200.41646,200.53726
4,-0.1253845,-0.15925562,0.20363946,-0.015874721,0.0039800727,-0.9998661,1.0,0.0,0.0,-0.088432826,-0.0422293,0.023248255,0.03176403,-0.11822736,0.19368842,0.07670577,0.06320645,-0.01802957,0.08219147,-0.010725558,-0.24197419,-0.37158966,0.0004597441,0.13260297,0.003647534,-0.49139896,-0.22790547,0.31090716,0.10438948,-0.1431273,0.15782993,0.76106673,0.04260188,0.5771483,1.3852692,-1.1428435,-1.0131453,-0.29064882,0.5910248,-0.35898796,-1.8774592,0.91557956,-1.2822477,-1.0978857,-0.4085686,-202.47162,156.39056,197.75677,31.10551,-199.97894,-200.83282,195.1583,-203.37793,-244.67447,-243.12634,199.18405,200.56058
5,-0.02869891,-0.0138872545,-0.022135794,-0.019153519,0.006978951,-0.9997922,1.0,0.0,0.0,-0.121731706,-0.040047962,0.04449892,0.016901255,-0.14316785,0.1347071,0.100202665,0.07495244,-0.0274508,0.0833931,0.06937057,-0.16170728,0.0061566927,0.016838778,0.0837257,-0.13897036,0.17525317,-0.074123465,-0.04056273,0.020817189,0.03289412,-0.11733391,0.10573182,0.6947642,0.12034427,1.5056542,-1.2958171,-1.3783911,-1.2121395,1.1140574,-0.12799446,-1.7477825,1.1803743,0.11004734,-1.3235717,-0.92344385,199.82872,199.32146,-197.86812,-214.77519,200.03445,199.91017,-199.71075,-203.4639,206.20409,-215.48854,-200.02657,200.04518
6,0.049281713,0.06606303,-0.1813545,-0.017397998,0.005991048,-0.9998306,1.0,0.0,0.0,-0.07718645,-0.038587734,0.056766927,-0.0020768642,-0.16413057,0.17819604,0.05022151,0.07331025,0.00046783686,0.03057301,0.01858598,-0.09508571,0.4018262,-0.0076394267,0.047664117,0.0034929165,-0.29310426,0.4210504,-0.42466912,-0.027158901,0.21553233,-0.34354147,-0.54961914,0.03819625,-0.5417193,0.8668684,1.2804822,-0.4625334,-1.3091798,-0.6372422,0.49449334,-1.3701155,-1.2988572,1.8669311,0.14284441,-0.9410753,186.78773,23.10263,218.60678,298.93066,-125.42384,142.14642,-206.55754,-205.997,182.4144,118.91905,-200.0876,-199.45915
7,-0.13497752,-0.0061210524,0.1264026,-0.01640247,0.0081509575,-0.9998323,1.0,0.0,0.0,-0.03897681,-0.029453194,0.07798773,-0.003956437,-0.2892366,0.17247939,0.009395017,0.06450491,0.022208393,-0.011419177,-0.01910448,-0.15641402,0.016955912,0.08869145,0.15938245,-0.036047418,-0.9039416,-0.3886593,-0.021469032,-0.05779303,0.021947514,-0.098590486,0.10702896,-0.5890779,0.31617263,0.57694376,-1.0714152,0.36920667,-0.058801502,-0.32546893,-0.7886601,-1.1968416,1.2575612,0.9502759,-0.7719799,0.30600485,-183.52075,95.400375,204.495,-14.635757,-189.94037,-236.92604,200.12141,-195.67326,-197.59256,181.8736,199.95264,-199.79843
8,-0.051958047,-0.09278166,-0.16897279,-0.018602202,0.011459387,-0.99976134,1.0,0.0,0.0,0.008270952,-0.006528987,0.09076917,0.020538688,-0.3971141,0.021848712,-0.041526467,0.052278064,0.030991971,-0.0042922497,-0.06525916,-0.18966153,0.414263,0.14207296,-0.015599121,0.25166467,-0.24049513,-1.0507329,-0.42093882,-0.0885276,0.06539434,0.11432145,-0.5215278,0.14113869,-0.122753754,-1.6451131,-0.80836713,-0.50802237,0.61441886,0.068862095,-0.6819032,1.4825934,1.3447216,-1.0265082,-0.27325684,-0.1082729,197.46141,255.74028,-239.542,156.96101,200.20752,-198.9051,-203.1125,-249.85173,168.69145,171.97757,-199.24712,199.71922
9,-0.020975273,-0.020317381,0.0636698,-0.02105665,0.01260507,-0.99969876,1.0,0.0,0.0,0.045155805,0.013553251,0.08538538,0.05496013,-0.37205058,-0.11578442,-0.16460039,0.032775573,0.056131124,-0.0060824156,-0.09518057,-0.094433874,0.005029531,0.06607317,-0.0413004,0.10866817,0.42419463,-0.39208424,-0.6900962,-0.09017321,0.17861037,-0.13573053,0.14613979,0.760143,-0.06917696,-2.0827003,1.2479811,-0.28416175,0.34847692,-0.027504921,-0.071419895,2.3055637,-1.1915418,-1.6123223,-2.3665028,-0.30069435,-200.65794,-193.77667,-202.57037,-219.91083,200.16716,200.24457,192.36888,111.09367,116.23907,-252.88847,199.89119,198.33331
