step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.582608e-05,0.0012920402,1.1921543,1.0741433,0.0042169597,-0.00021053404,6.1113526e-05,0.0020836648,1.1906246,1.0728502,0.0041135713,0.00018121366
1,2.6127725e-10,-1.013279e-09,1.04849504e-10,0.0,0.0,-1.0,1.0,0.0,0.0,-9.273221e-13,1.7594154e-11,0.0,0.0,0.0,-1.8104363e-12,-1.13608226e-13,-8.815972e-12,0.0,0.0,0.0,1.6234071e-12,-1.22271e-12,1.12543586e-10,2.5409072e-11,1.1721106e-10,7.3972377e-13,-8.621746e-12,-7.3428085e-13,-6.0463266e-11,2.6741567e-11,5.4028816e-11,2.2581438e-12,7.749476e-12,-0.10286157,0.003833443,0.89681613,-0.21677917,-0.43067348,-0.89713055,0.3350061,0.06410978,0.66944975,-0.08401874,-1.413292,0.107432604,7.362342e-08,-9.062027e-07,4.0573087,-12.409889,1.2583618e-07,5.922132e-09,6.448451e-08,1.3476197e-06,4.0573087,-12.409889,1.397703e-07,3.2549963e-09
2,-0.0023632094,-0.1142457,0.009382769,-0.003966476,0.00014964768,-0.99999213,1.0,0.0,0.0,-0.001003877,0.0009697742,0.0064513087,0.0004490614,-0.004328966,-0.007192885,0.0029466692,0.00042466246,0.0068485737,0.00091290474,-0.011233747,0.000890976,-0.0055376682,0.0049714083,0.038168307,0.0011844229,-0.021132203,-0.0402078,0.015264913,0.0020747313,0.03982926,0.004414584,-0.0672127,0.0044205217,-0.011962205,-0.19247617,1.230894,-0.24954945,-1.2629509,-1.3073939,0.74412507,0.25431588,0.95324445,-0.28799948,-2.6492944,-0.014285896,0.62905025,0.82017136,-4.8436775,1.2254486,4.2340903,0.6733742,1.5040879,4.6236916,-4.2730255,2.021965,2.8402433,0.11816645
3,0.00914539,-0.11944903,0.0035561994,-0.009258799,-0.00013322347,-0.9999571,1.0,0.0,0.0,-0.0014471338,0.001300619,0.016833663,-0.00024735928,-0.015713155,-0.018927924,0.009813089,0.001084289,0.017695665,0.0009891987,-0.034474254,0.00042702537,-0.0024728389,-0.00086300884,0.052156534,-0.007513866,-0.05994047,-0.05877815,0.035239458,0.0039845053,0.05290075,-0.0013660548,-0.12416064,-0.002480202,-0.0030195713,-0.21471529,1.2940642,-0.39315948,-1.3951157,-1.1529081,0.7627252,0.27660438,1.1367896,-0.32107154,-2.6868205,0.020268183,-7.110731,36.50878,-33.03172,35.804714,4.459116,12.074305,-0.0007324219,8.409363,6.21344,-6.3957214,5.545726,0.20518112
4,0.008482204,-0.11570092,0.012356879,-0.014203126,-0.00045797677,-0.999899,1.0,0.0,0.0,-0.0017184535,0.0009778229,0.028143108,-0.0026618242,-0.028655052,-0.02902914,0.016934315,0.0021050205,0.029282212,-0.00014853477,-0.05921781,0.00028856628,-0.0013049929,-0.0031432365,0.056120258,-0.0146101145,-0.06386214,-0.049608406,0.035111997,0.0058047017,0.056481857,-0.0068370923,-0.12174749,-0.00053624203,0.12797332,-0.20140846,1.4109594,-0.44505128,-1.3061424,-0.95471185,0.735218,0.30470937,1.2227696,-0.1782168,-2.3407798,0.051090132,-20.14868,45.39676,-38.028316,58.088417,8.417021,29.965204,0.42261732,6.655548,2.130146,-4.184044,5.4851804,0.098552704
5,0.016541908,-0.14532132,0.014897731,-0.019759916,-0.0008058333,-0.9998044,1.0,0.0,0.0,-0.0008840813,0.0009364296,0.04003352,-0.0046150684,-0.04018104,-0.036568757,0.023536803,0.00403129,0.04103601,-0.0014805794,-0.079901755,0.00066123717,0.0047703194,-0.0010632583,0.060192507,-0.0076376437,-0.056215372,-0.036966268,0.03205439,0.011691073,0.0569999,-0.008425213,-0.101479866,0.0023788286,0.2593487,-0.14078332,1.464684,-0.43632525,-1.2148865,-0.77440137,0.72548175,0.35620958,1.2700288,-0.045829676,-2.0170817,0.08856195,2.1532516,3.0426788,-1.7234917,0.8527374,3.003768,0.7774582,0.25050068,32.623173,-41.415455,-17.37498,4.1751304,0.54169554
6,0.02069536,-0.15768072,0.009097799,-0.026038188,-0.0014757713,-0.9996599,1.0,0.0,0.0,0.0014166805,0.00074598374,0.052658558,-0.006334424,-0.050325155,-0.04222285,0.02973831,0.0070517384,0.052232683,-0.0020823479,-0.09664762,0.001491772,0.011845884,-0.0019126454,0.06321778,-0.008341583,-0.049610857,-0.027824212,0.030444546,0.015653217,0.054617543,-0.0025567787,-0.08189768,0.004133445,0.2516923,-0.08463143,1.5317374,-0.48462832,-1.2133646,-0.6341325,0.64349395,0.39241213,1.2824054,0.028899418,-1.8186165,0.14523333,0.33799076,0.063934326,-2.1349022,-2.7553864,2.4764576,0.7936821,-1.1119419,10.294624,-14.150135,-6.802827,3.7519674,0.017378315
7,0.014195424,-0.15748802,0.017669994,-0.03245167,-0.0020390833,-0.9994712,1.0,0.0,0.0,0.0037235823,0.00060009287,0.06577754,-0.008411288,-0.06001258,-0.046367805,0.034923363,0.010614934,0.06289959,-0.001957059,-0.110762596,0.0028487076,0.011348589,-0.0007288891,0.065026045,-0.010435416,-0.047550395,-0.020269098,0.025315508,0.017712634,0.052233126,0.0008771761,-0.06910499,0.006727128,0.2809767,-0.03615962,1.5976366,-0.5355621,-1.2392069,-0.508316,0.5647065,0.4145384,1.2960408,0.08937669,-1.6010646,0.18407792,-0.2964816,0.7269592,-3.0523424,-2.2236176,2.308035,0.86945534,-1.2697744,-0.6556972,-4.70096,-3.8045244,3.3054461,-0.32373866
8,0.0054777963,-0.15495066,0.02637938,-0.038791712,-0.0022898181,-0.9992447,1.0,0.0,0.0,0.006240745,0.0007881261,0.07914376,-0.01082921,-0.069556594,-0.049124837,0.039131355,0.01437612,0.07320225,-0.0012660027,-0.122189105,0.004540061,0.012373955,0.0013083722,0.06601945,-0.011936576,-0.04687255,-0.013379454,0.020509655,0.018386208,0.050628062,0.003655793,-0.055881884,0.008345401,0.33704782,0.005219087,1.6355238,-0.5679189,-1.2100242,-0.41040924,0.53033537,0.42532262,1.334156,0.11641526,-1.4081423,0.18486106,-0.66091394,1.6713676,-3.7009335,-0.8720703,2.2862167,0.81770134,-1.0429809,-4.541735,-2.140557,-2.6520824,2.712093,-0.48085785
9,-0.0022755507,-0.15078777,0.030629542,-0.044978287,-0.0022288556,-0.9989855,1.0,0.0,0.0,0.0092031285,0.0013612026,0.09244901,-0.013401628,-0.07844305,-0.050800964,0.042819872,0.018123897,0.08341509,-0.00033688545,-0.13126588,0.0061809546,0.014580885,0.0033040761,0.06547232,-0.012473158,-0.043577146,-0.008052934,0.018034881,0.018239474,0.050398506,0.0047432063,-0.04436622,0.008056316,0.39484137,0.042272255,1.6576585,-0.587331,-1.139569,-0.3488521,0.5225678,0.42928115,1.3754447,0.113813,-1.2671967,0.15834773,-0.88124275,1.5840893,-4.4641285,-0.17262268,2.095271,0.6275692,-0.86454207,-5.4293118,-1.0513198,-1.8194227,2.175655,-0.48512223
