step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4926252e-08,3.7243524e-08,1.1765417,1.1751269,-4.9169892e-05,-1.7959721e-07,1.4928593e-08,-3.7243524e-08,1.1765417,1.1751268,-4.9188817e-05,1.7959721e-07
1,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,4.4428965e-13,5.388308e-12,8.648634e-05,-0.00021839142,2.9802322e-07,-6.934492e-13,1.4335404e-12,3.6009175e-12,8.648634e-05,-0.00021839142,2.9802322e-07,6.710997e-13,1.0231547e-11,1.1761899e-12,0.00041660937,-0.0011912353,4.5043217e-07,-4.7001774e-13,3.124537e-12,3.016009e-11,0.00041660937,-0.0011912354,4.504339e-07,1.1368684e-12,-0.10286157,0.003833443,0.89681613,-0.21677917,-0.43067348,-0.89713055,0.3350061,0.06410978,0.66944975,-0.08401874,-1.413292,0.107432604,-2.5096814e-08,-9.779367e-07,-0.34443092,-0.09920502,-0.0063744793,-1.08475035e-07,-1.4120726e-08,5.5011674e-07,-0.34443045,-0.09920597,-0.0063744737,1.00265595e-07
2,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.00097274856,9.8607874e-05,0.005633652,-0.0032998323,-0.004155278,-0.008000791,0.003140526,0.00036129038,0.0045899153,-0.0019222498,-0.011674285,0.0010320863,-0.0049682152,0.0002477887,0.03937538,-0.0143050775,-0.020904535,-0.043463793,0.016187854,0.0028840255,0.030090583,-0.0068318876,-0.0687229,0.005184179,-0.01446186,-0.19283809,1.2309699,-0.24814504,-1.2628332,-1.3094877,0.7422352,0.25389728,0.9538902,-0.28381902,-2.6475468,-0.015009541,0.1489302,-1.2701621,59.665916,34.84411,2.2713594,2.0764456,-0.5139411,4.0515075,36.22583,21.619368,4.100616,-0.16153915
3,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.0010696258,-0.0012221973,0.016357005,-0.006393671,-0.01576066,-0.020456461,0.01009995,0.0022108194,0.013147891,-0.005029559,-0.0355947,0.00085925433,-0.00045390683,-0.008837384,0.057398446,-0.013471313,-0.06031239,-0.061667453,0.035242014,0.011775101,0.0449552,-0.015029559,-0.12587966,-0.0009393641,0.31348008,-0.18710189,1.4402786,-0.28976166,-1.128928,-1.0871067,0.7810307,0.28528348,0.8621541,-0.09681866,-2.4434972,-0.027048383,-0.70265293,-7.6459894,17.070091,12.687362,3.3391333,2.823637,-1.1741767,8.64903,6.524579,6.403661,6.286647,0.24165605
4,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0019260176,-0.0030766106,0.029334724,-0.00949657,-0.026275635,-0.030380959,0.017363852,0.004840435,0.021203995,-0.0062179565,-0.05825615,0.00056030403,0.015377616,-0.008854827,0.06636197,-0.01438466,-0.051448997,-0.048513763,0.035790518,0.013511242,0.039593074,-0.0048848307,-0.11105435,-0.0014701866,0.6763856,-0.101487085,1.441183,-0.23591438,-0.7928579,-0.7138413,0.841945,0.4090263,0.7206089,0.09331246,-1.8464683,-0.07474588,-0.74588877,2.7728777,3.6420105,5.657524,2.6456451,2.4002974,-1.9954547,-0.2795267,-3.9955862,-0.20867443,5.349998,0.09029053
5,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.008345379,-0.0042760614,0.042387843,-0.011786699,-0.0331043,-0.03628072,0.02491872,0.008353627,0.027733982,-0.005404234,-0.074433446,-0.00019269917,0.032318734,-0.004477335,0.064642414,-0.010724966,-0.03317337,-0.028577998,0.037316956,0.018790064,0.031413358,0.004680046,-0.077800766,-0.003719635,0.92001987,-0.042480335,1.411501,-0.16801095,-0.53411174,-0.44395062,0.883469,0.5150506,0.53792423,0.21953897,-1.3464888,-0.11352123,-1.4418063,6.5028048,-7.1053843,-0.5776367,1.5391817,1.5199103,-1.8900971,2.5662003,-7.011716,-2.8936987,3.666111,0.261595
6,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.016963644,-0.004725966,0.054771304,-0.013262272,-0.03710282,-0.039273556,0.03259957,0.012818758,0.032425463,-0.003224492,-0.084938824,-0.0012982184,0.042846583,-0.0011807148,0.06083795,-0.006892059,-0.019365573,-0.014411929,0.03787153,0.023298781,0.021606063,0.010794009,-0.0505622,-0.0054437793,1.0668048,-0.01084514,1.3352765,-0.15178847,-0.3612797,-0.24952754,0.89626443,0.5504681,0.4711244,0.22866552,-0.9867176,-0.14505196,-2.192133,4.219562,-9.574476,-2.3665514,0.81481534,0.7953905,-2.101103,1.0935521,-10.9563875,-5.931219,2.2545846,0.32029924
7,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.026730068,-0.004720306,0.06612885,-0.01437819,-0.03922379,-0.04022096,0.040128756,0.01767492,0.036094964,-0.0010005236,-0.09136522,-0.0026677086,0.048266735,0.0005902151,0.05503091,-0.0056513376,-0.010249317,-0.0044497843,0.037016522,0.024346093,0.01725742,0.010676547,-0.031199588,-0.006747629,1.1281424,0.0042585284,1.3061696,-0.14752853,-0.25919664,-0.14685562,0.8839449,0.55132985,0.4195044,0.17044172,-0.7802912,-0.17312628,-2.5974293,1.942265,-13.661348,-4.9602985,0.28381053,0.27206698,-2.28746,-2.5422745,-7.956002,-4.48293,1.3706805,0.31151462
8,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.036752004,-0.0044891546,0.07664096,-0.015437245,-0.040245593,-0.040102836,0.0472587,0.022463249,0.03913343,0.00063335896,-0.09547818,-0.0042579947,0.04933683,0.0013910551,0.05122894,-0.0053294403,-0.004919425,0.0006867311,0.034973513,0.023521459,0.014086089,0.0074450895,-0.020000821,-0.007836481,1.1652417,0.02237384,1.2892798,-0.13021162,-0.22275376,-0.060823526,0.8751727,0.5252382,0.45939836,0.10417263,-0.6375368,-0.23220366,-2.7273715,0.5740521,-11.213938,-3.7903442,0.07038985,-0.0031087324,-2.324023,-4.3296504,-8.426554,-4.6617746,0.8152712,0.32719117
9,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.046754245,-0.0040904777,0.08649838,-0.016327262,-0.040857315,-0.03914055,0.05401973,0.026885543,0.0421834,0.0014500618,-0.09801811,-0.0063587623,0.049188558,0.0022103677,0.048224363,-0.004360683,-0.0029688661,0.004815581,0.033167284,0.021370836,0.0150610125,0.0037135915,-0.012326272,-0.01038127,1.1611483,0.036878273,1.3017911,-0.118464865,-0.21627474,-0.0135935955,0.8489577,0.49745312,0.48430037,0.007870914,-0.5563334,-0.28696653,-2.7364821,0.46382475,-9.371631,-2.9565487,0.009428696,-0.20478967,-2.17027,-5.2863793,-3.3738694,-1.5572691,0.54570365,0.42838493
