step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21831587,2.5371435,180.0235,579.645,0.00025107758,0.008115509,0.20829916,1.6422346,137.2495,439.7127,0.0009337163,-0.0022094594
1,4.5769015e-13,2.5033953e-09,1.7733352e-10,0.0,0.0,-1.0,1.0,0.0,0.0,-1.2162903e-11,4.6988708e-11,0.0,0.0,0.0,-1.5565315e-11,3.7714883e-12,-9.632288e-12,0.0,0.0,0.0,1.3425115e-11,-6.902949e-11,3.853431e-10,1.6151887e-11,-1.285825e-09,-9.348322e-12,-8.112621e-11,2.1792712e-11,-9.63671e-11,1.4778499e-10,-1.793229e-09,1.3028118e-11,7.1808136e-11,0.05439382,-0.07385601,0.6371903,-0.19690832,-0.6360143,-0.07273096,-0.038605303,0.2567371,0.3708153,-0.102598384,-0.49107462,-0.20265447,1.4321243e-07,-2.1233961e-07,4.057309,-12.409887,1.5169435e-07,2.8284653e-08,2.0631703e-08,8.2245134e-07,4.057309,-12.409887,1.4440629e-07,-1.4152974e-08
2,-0.096199505,-0.43499053,0.039134137,-0.010824554,0.0024746163,-0.99993825,1.0,0.0,0.0,0.0020216196,0.0040638307,0.022401392,-0.0019905567,-0.04183203,-0.001759357,-0.0016516013,0.005453191,0.018851936,0.0020577908,-0.033305883,-0.013727233,0.009570795,0.03138056,0.17015503,-0.013657669,-0.25148925,-0.0098898215,-0.0102865575,0.03915639,0.14382982,0.013733503,-0.18912171,-0.075074024,0.047134735,-0.27006796,0.54147077,-0.12043279,-0.88050866,-0.15483499,-0.21845429,0.25889048,0.35774797,-0.28773788,-0.5758026,-0.31608555,-5.918109,-8.8508415,-4.4468155,-6.555435,13.931096,12.951767,1.1326218,3.9350739,-5.6213646,-6.4911346,13.633224,4.4601254
3,0.00704379,-0.43898022,0.08865324,-0.029057048,0.0038255039,-0.99957037,1.0,0.0,0.0,0.0013774745,0.006810072,0.057082295,-0.0014277697,-0.100437164,-0.007604114,-0.012776883,0.009246389,0.04991293,0.0033106804,-0.06851089,-0.03385416,-0.006887386,0.0027107145,0.16445507,0.0058856066,-0.26665676,-0.033517625,-0.067081526,0.0053265,0.15278743,-0.0012548281,-0.15149313,-0.094685845,0.072526805,-0.65770566,-0.17502502,-0.5186017,-0.7887804,-0.33811513,0.18898794,0.22039641,-0.50063795,-0.58379185,-0.9824825,-0.218989,0.5201969,-2.3048706,-39.240646,-13.475189,29.857822,0.40776634,1.7131672,-17.145638,-20.600128,-11.736023,18.501812,9.109379
4,0.12693617,0.13059485,-0.05586734,-0.034094617,0.0008581513,-0.99941826,1.0,0.0,0.0,0.0025602854,0.0043502646,0.06816512,0.00053703785,-0.13320768,-0.024245767,-1.7100709e-05,0.008476774,0.063447654,0.002909422,-0.119855225,-0.04045064,0.010427976,-0.027758053,-0.027663125,0.012662574,-0.117850006,-0.08536266,0.10950395,-0.0135830585,-0.0076823286,-0.0055851964,-0.24971378,-0.02019998,-0.04644618,-0.0377077,0.304985,-0.6974473,-0.8619239,-0.27850387,0.057361804,0.46848634,0.10027535,-0.5006727,-0.61373484,-0.18834288,1.4876099,-11.4335785,-57.95839,3.8153992,20.228235,7.3405914,18.858944,19.659218,-59.180344,-0.21235657,24.802319,1.377903
5,-0.11404989,0.15071984,0.15615036,-0.028524863,0.0017455412,-0.99959147,1.0,0.0,0.0,-0.0012142092,0.007300356,0.06831902,-0.0049573183,-0.15854734,-0.03560954,0.013578178,0.014171204,0.060222924,-0.0034273863,-0.13559043,-0.043078654,-0.03100287,0.042196885,0.015994426,-0.055986512,-0.11322378,-0.0397691,0.046618853,0.054984678,-0.018262465,-0.04696502,-0.026029054,-0.005899141,0.0326607,-0.057688564,0.9622225,-0.28249133,-0.3808775,-0.10577949,-0.19204833,0.3455941,1.1025636,-0.06614316,0.21413223,-0.18656014,-3.9364567,1.4383392,2.3828948,-24.401138,13.174314,9.11388,-16.367853,-12.446365,-6.1189766,-16.723602,13.349625,4.359611
6,-0.12133886,-0.46709263,0.1331971,-0.036608376,0.0068820803,-0.99930596,1.0,0.0,0.0,-0.004540586,0.015203991,0.09217125,-0.022403598,-0.14722586,-0.031044526,0.00204182,0.025005514,0.07576722,-0.012149692,-0.09106791,-0.04459831,-0.0066461936,0.037713144,0.1961193,-0.09864329,0.097261325,0.03279868,-0.09394237,0.054686643,0.16390572,-0.04843502,0.3004353,-0.0061824652,0.29177988,-0.5813738,0.34124178,0.29068857,0.016926736,-0.1404671,0.031558674,0.058857687,0.7217428,0.15015122,0.016215354,-0.26688996,6.279236,0.44470215,3.019638,-20.03647,1.7338047,-3.8304844,-13.177473,59.09558,206.9483,21.040104,-0.06983558,1.6820366
7,0.20193388,-0.3787133,-0.13648799,-0.053000983,0.00397126,-0.99858654,1.0,0.0,0.0,0.013700071,0.0075017517,0.10868639,-0.012365222,-0.10021871,-0.029688435,-0.001698072,0.023385735,0.10364169,-0.011254191,-0.05405861,-0.051065568,0.121236764,-0.099355616,0.024591219,0.12966268,0.23494314,-0.0055528725,0.008911482,-0.04724988,0.12564048,0.034632057,0.13553146,-0.034801614,0.05205848,-0.05326216,-0.2020103,-0.5241524,-0.752912,-0.31287587,0.12774509,0.06805891,-0.71422017,-0.08668698,-1.0987667,-0.23677154,3.0583,-191.8906,-63.282486,46.25673,-24.079052,-6.3184614,13.515099,19.11979,33.852863,54.598892,-21.0674,2.8859143
8,0.075196,0.23325035,-0.07324788,-0.054614093,-0.0013170042,-0.99850667,1.0,0.0,0.0,0.0209602,-0.006648044,0.09613609,-0.0013279915,-0.109494984,-0.04416715,0.007197075,0.018939788,0.10402393,-0.0035350323,-0.09197396,-0.05450966,-0.00013157509,-0.051955294,-0.13573109,-0.0069739036,-0.15409589,-0.07712597,0.05406877,-0.006284372,-0.09776997,0.03779482,-0.36195478,-0.011271647,-0.06584676,0.241081,0.7177125,-0.908729,-1.076603,-0.32833007,-0.11098018,0.47680965,0.24086408,-0.53439856,-0.5483595,-0.09759376,-20.529593,41.46624,-176.36763,-216.15584,-12.340193,8.359166,-2.4362822,1.1870334,-197.26312,-87.4057,-25.115925,2.088154
9,-0.27861863,0.058207046,0.21301186,-0.049568646,0.004620679,-0.99876,1.0,0.0,0.0,0.0117978165,0.00016239817,0.095415354,-0.031077027,-0.15877146,-0.05588709,0.00168971,0.034939345,0.096781135,-0.016142368,-0.11791229,-0.04659459,-0.05193617,0.0833258,0.06836717,-0.17164034,-0.20513915,-0.012430034,-0.056853026,0.1309626,0.0018004405,-0.13062064,-0.051292118,0.047219396,-0.04216426,-0.36061984,1.0859424,-0.22798337,-0.70606625,-0.07722962,-0.22330053,0.18635294,1.1387453,-0.25639927,-0.06938423,-0.21887647,9.849323,48.657543,334.24075,337.54132,48.15265,33.4618,-5.7965918,47.490753,-59.106956,-132.93935,17.363007,-1.7579011
