step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.582608e-05,0.0012920402,1.1921543,1.0741433,0.0042169597,-0.00021053404,6.1113526e-05,0.0020836648,1.1906246,1.0728502,0.0041135713,0.00018121366,0.0,0.0,-0.8,1.6,-0.8,0.0,0.0,0.0,-0.8,1.6,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.152268e-11,1.4156102e-09,-6.7311476e-11,0.0,0.0,-1.0,1.0,0.0,0.0,-1.30207095e-11,4.681615e-11,0.0,0.0,0.0,-1.9230091e-11,6.1406206e-12,-1.181268e-11,0.0,0.0,0.0,1.6250322e-11,-8.203304e-11,4.0386391e-10,1.835159e-11,-7.605097e-10,6.4910967e-12,-9.1108815e-11,2.791691e-11,-9.768508e-11,3.5766934e-10,-1.5298982e-09,2.9656503e-11,8.025996e-11,0.12061938,0.49567306,-0.5356328,0.6915621,-0.95663244,0.15054838,-0.354795,-0.7263043,0.5592047,0.2519579,-1.0495656,-0.03174166,1.4167404e-07,-1.7175006e-07,4.057309,-12.409887,1.3817606e-07,3.3377702e-08,1.1415366e-08,8.2137433e-07,4.0573087,-12.409888,1.3487718e-07,-1.7031276e-08,-1.30207095e-11,4.681615e-11,-0.8,1.6,-0.8,-1.9230091e-11,6.1406206e-12,-1.181268e-11,-0.8,1.6,-0.8,1.6250322e-11,-1.6406608e-09,8.077278e-09,3.670318e-10,-1.5210194e-08,1.2982193e-10,-1.8221763e-09,5.583382e-10,-1.9537016e-09,7.1533868e-09,-3.0597963e-08,5.9313005e-10,1.6051991e-09
2,0.07017303,-0.10586438,-0.076859996,-0.0023847143,-0.0015171653,-0.99999595,1.0,0.0,0.0,0.027222184,0.0013752511,-0.016139269,0.03623259,-0.07203174,0.042603724,-0.03794978,-0.005606218,0.0020419955,0.020711303,-0.07498801,-0.009700484,0.18057747,0.021323798,-0.14672093,0.31715557,-0.66379666,0.25299975,-0.3521212,-0.054794617,0.021628676,0.17488492,-0.68559337,-0.052856803,-0.06586639,-0.18653704,0.2865653,0.36751238,-0.6570479,-0.09255466,-0.08731885,0.4869293,0.11536265,0.36712825,-0.9881991,0.12086254,26.055319,204.28596,-202.83461,176.62036,-200.11644,-12.722815,-201.73773,-236.17953,185.90326,175.31248,-200.15657,3.5729907,0.027222184,0.0013752511,-0.8161393,1.6362326,-0.87203175,0.042603724,-0.03794978,-0.005606218,-0.797958,1.6207113,-0.874988,-0.009700484,3.6115494,0.42647597,-2.9344184,6.343111,-13.275933,5.0599947,-7.042424,-1.0958923,0.4325735,3.4976983,-13.711867,-1.057136
3,0.05258521,-0.6098174,0.012014001,-0.018564917,-0.0040956745,-0.9998193,1.0,0.0,0.0,0.02483119,0.003950354,-0.026784003,0.11423159,-0.25946742,0.026487295,-0.07643386,-0.015103714,0.021695614,0.07322645,-0.28797203,0.025274241,-0.12594718,-0.0008164394,0.017940268,0.43391332,-0.9684707,-0.24569951,-0.10529887,-0.032866415,0.14417353,0.33794105,-1.3735803,0.22282107,-0.21409515,0.07270005,-0.6796177,-0.150766,0.003496185,-0.30255404,0.42722434,-0.14961751,-0.69273114,-0.43630564,0.24625766,0.20905165,-78.90433,-220.21768,226.62808,100.208786,83.7762,-27.015882,78.711815,161.62968,91.519356,177.78784,-199.07349,-10.107875,0.02483119,0.003950354,-0.826784,1.7142316,-1.0594674,0.026487295,-0.07643386,-0.015103714,-0.7783044,1.6732265,-1.087972,0.025274241,-2.5189435,-0.016328787,0.35880536,8.678267,-19.369413,-4.91399,-2.1059773,-0.6573283,2.8834705,6.758821,-27.471605,4.4564214
4,0.14505132,0.018456725,-0.10239618,-0.02913412,-0.00850639,-0.99953926,1.0,0.0,0.0,-0.03728619,0.0073107504,-0.04417789,0.18485665,-0.37708324,-0.07528437,-0.052246917,-0.0321181,0.031796217,0.123337865,-0.4866882,0.08987493,-0.38234332,0.029989248,-0.17817128,0.28842372,-0.27728662,-0.5524603,0.3058147,-0.11531273,-0.02570509,0.18347041,-0.6833891,0.30367243,0.40279573,-0.14398357,0.7583023,-0.79295266,0.5603598,0.07803764,-0.016400907,0.60471237,-0.05678796,-0.6533901,1.007049,-0.47690102,-11.555291,121.05379,-200.12064,-222.76854,200.08012,46.215046,199.29648,-123.44012,-163.27393,-205.8179,200.93094,-39.318676,-0.03728619,0.0073107504,-0.8441779,1.7848567,-1.1770833,-0.07528437,-0.052246917,-0.0321181,-0.7682038,1.7233379,-1.2866882,0.08987493,-7.6468663,0.599785,-3.5634255,5.768474,-5.545732,-11.049206,6.116294,-2.3062546,-0.5141018,3.669408,-13.667782,6.0734487
5,0.08060872,-0.006605027,-0.02729888,-0.028856467,-0.0130508505,-0.99949837,1.0,0.0,0.0,-0.06813247,0.003243462,-0.060560286,0.21268785,-0.35890728,-0.1082055,-0.024090882,-0.04381452,0.027477443,0.14337277,-0.54778403,0.07353145,0.034944955,-0.062038243,-0.003167407,0.018179307,0.392201,0.15254194,0.05911668,-0.011053068,-0.01738541,0.03329869,0.0034874273,-0.39581344,0.5331148,0.041383415,-0.13090032,-0.47011778,0.3842637,0.5473731,-0.72318816,-0.020777673,0.065731935,-0.82918787,0.28149778,-0.11579275,199.95474,-201.4306,202.96147,-215.57814,200.11179,200.03345,-45.367855,200.80142,-140.61911,-214.03441,200.28438,-200.02475,-0.06813247,0.003243462,-0.8605603,1.8126879,-1.1589073,-0.1082055,-0.024090882,-0.04381452,-0.77252257,1.7433728,-1.347784,0.07353145,0.6988991,-1.2407649,-0.06334814,0.36358613,7.84402,3.0508387,1.1823336,-0.22106135,-0.3477082,0.6659738,0.06974854,-7.9162683
6,-0.072344966,0.13698998,-0.14870301,-0.025986556,-0.012667194,-0.99958205,1.0,0.0,0.0,-0.017062446,-0.0028380821,-0.06378889,0.1977098,-0.20467383,-0.0024492564,-0.053611588,-0.038406655,0.029933333,0.12570608,-0.4731514,0.001502469,0.43468124,-0.013131228,-0.025967663,-0.15323992,1.0812256,0.83751315,-0.31780532,0.050074052,0.033444535,-0.1867546,0.6762481,-0.3025114,-0.42743248,0.27259603,0.16320078,-0.15833081,-0.6127844,-0.08469579,0.5024825,-0.23029622,0.4821372,-0.29480952,-0.6221738,0.3886877,198.37263,74.51771,-107.16464,-225.01979,199.86021,200.00423,-200.90031,0.4942546,58.083763,-211.76917,200.47835,43.863255,-0.017062446,-0.0028380821,-0.8637889,1.7977098,-1.0046738,-0.0024492564,-0.053611588,-0.038406655,-0.7700667,1.7257061,-1.2731514,0.001502469,8.6936245,-0.26262456,-0.5193533,-3.0647984,21.624512,16.750263,-6.3561063,1.001481,0.66889066,-3.735092,13.524961,-6.0502276
7,-0.032253854,-0.50969064,-0.30482554,-0.03405708,-0.010354505,-0.9993663,1.0,0.0,0.0,0.024642795,0.006383571,-0.029038608,0.13797462,-0.063551664,0.08727782,-0.072067715,-0.039455887,0.06083244,0.09181321,-0.4165501,0.028158784,0.026227662,0.08866196,0.33960995,-0.41507283,0.39946064,0.13014494,0.084371276,-0.04539444,0.21481691,-0.043213006,-0.028364116,0.4345684,-0.46559983,-0.5458829,-0.4788004,0.6069632,-1.0437255,-0.47961092,0.28224716,0.04357343,-0.5007522,0.39667588,-1.0493805,-0.13903877,-201.1727,187.2076,104.998726,-229.28796,-200.11938,-200.31999,170.75977,-26.173447,197.55595,452.97488,-185.42,130.47903,0.024642795,0.006383571,-0.8290386,1.7379746,-0.8635517,0.08727782,-0.072067715,-0.039455887,-0.7391676,1.6918132,-1.2165501,0.028158784,0.52455324,1.7732393,6.7921987,-8.301456,7.9892125,2.6028986,1.6874255,-0.90788877,4.296338,-0.86426014,-0.5672823,8.691368
8,0.036898784,-0.0049658786,-0.24567097,-0.043181032,-0.010738606,-0.9990095,1.0,0.0,0.0,-0.006283092,0.017706148,0.0011990666,0.10034406,-0.062805,0.030473173,-0.016784886,-0.039184403,0.0708096,0.11852491,-0.49303752,0.040014096,-0.30843875,0.028607069,-2.7973892e-05,0.0050746826,-0.3116215,-0.623375,0.43611154,0.032792598,-0.08529737,0.2679886,-0.6787912,-0.23615415,-0.03192558,0.16194446,0.11917068,-0.15852064,-0.38161194,0.13714807,-0.26932612,0.77385354,0.19507918,-0.20949735,0.45387506,-0.2497805,-203.71712,-209.53346,-130.43654,250.67984,-189.76399,-204.36128,188.83093,200.73672,-191.586,211.17508,-197.84616,-188.74341,-0.006283092,0.017706148,-0.79880095,1.7003441,-0.862805,0.030473173,-0.016784886,-0.039184403,-0.7291904,1.7185249,-1.2930375,0.040014096,-6.168775,0.57214135,-0.00055947783,0.10149365,-6.2324295,-12.4675,8.722231,0.65585196,-1.7059474,5.3597717,-13.575825,-4.723083
9,-0.47507572,-0.47008947,-0.015118637,-0.05532018,-0.0006879301,-0.9984685,1.0,0.0,0.0,-0.0319059,0.038778286,0.02454561,0.10843718,-0.16055483,-0.043331224,0.026238361,-0.006207223,0.08493161,0.1453911,-0.55504256,-0.05293977,-0.03431714,0.15691943,0.18239006,0.04676676,-0.5060085,-0.14260459,0.034289643,0.2613383,0.16544747,0.028139263,-0.008368875,-0.4868202,0.43582428,-0.7846412,-0.48046032,-0.69973916,0.23226427,0.80598533,-0.9273235,-0.9551762,-0.23941547,-1.0533423,0.47716552,0.38719773,64.77188,-38.502655,35.984474,51.20262,39.444675,142.0184,-203.23526,218.71713,69.658936,-230.25462,200.07118,48.59082,-0.0319059,0.038778286,-0.7754544,1.7084372,-0.96055484,-0.043331224,0.026238361,-0.006207223,-0.7150684,1.7453911,-1.3550426,-0.05293977,-0.6863428,3.1383886,3.6478012,0.9353352,-10.12017,-2.8520918,0.68579286,5.2267656,3.3089495,0.56278527,-0.16737749,-9.736403
