step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.582608e-05,0.0012920402,1.1921543,1.0741433,0.0042169597,-0.00021053404,6.1113526e-05,0.0020836648,1.1906246,1.0728502,0.0041135713,0.00018121366
1,1.5846348e-10,-5.662441e-10,-1.8248257e-10,0.0,0.0,-1.0,1.0,0.0,0.0,-1.24059174e-11,4.5441612e-11,0.0,0.0,0.0,-2.0948233e-11,7.539284e-12,-1.3296123e-11,0.0,0.0,0.0,1.750552e-11,-5.894226e-11,3.5405331e-10,4.2785384e-10,-4.034016e-10,-4.2802754e-12,-5.755531e-11,1.933575e-11,-1.2660066e-10,7.8134416e-10,-1.0813002e-09,1.11607e-11,5.1385406e-11,0.063118465,-0.33331612,0.6195747,-0.31397992,-1.1507593,0.08157993,-0.07831994,0.7041561,-0.19644365,0.49323922,-1.0955786,0.08636641,1.6471574e-07,-3.0621186e-07,4.0573087,-12.409887,1.4396224e-07,4.654892e-08,1.5221815e-09,9.1062776e-07,4.057308,-12.409887,1.3718633e-07,-2.8803932e-08
2,-0.14960839,-0.111170426,0.14657745,-0.0025579813,0.0033213391,-0.9999912,1.0,0.0,0.0,0.0083055515,0.0033455652,0.0075781345,0.007720351,-0.0528723,0.015273871,-0.01582482,0.009634029,-0.014155865,0.030354738,-0.06238532,0.017646868,0.050614502,0.035650294,0.067628525,0.0642264,-0.48507085,0.08315306,-0.10046657,0.09273546,-0.12527508,0.26551554,-0.5706124,0.097840436,-0.026351685,-0.38708135,0.18088453,-0.17574497,-1.8843197,-0.14417654,0.3184716,0.30092227,-0.6663099,0.70540696,-1.5602033,-0.122589715,3.8028183,29.717316,164.22223,117.560425,-168.30362,-5.6942883,17.33742,208.02103,-185.9776,184.30377,-199.82738,-3.5340683
3,-0.3351355,-0.13116397,0.09210304,-0.008273583,0.013493072,-0.9998747,1.0,0.0,0.0,0.0025907073,0.017762795,0.029312551,0.020858169,-0.2063629,-0.003792741,0.0012029823,0.039016854,-0.054005325,0.10988712,-0.2396329,-0.0059417784,-0.03815731,0.08460276,0.14844917,0.016788295,-1.0128447,-0.18619305,0.2408736,0.18955997,-0.27287304,0.5012937,-1.1440481,-0.16961806,-0.14039871,-0.6317604,0.44050446,-0.7111451,-0.8763337,-0.52320004,0.48123407,-0.087971345,0.5101049,-0.19005576,-0.41640073,0.23741862,0.37439328,-204.11792,109.81073,-219.7659,-199.77277,-25.743181,197.93913,223.37477,-252.98389,135.7051,-200.77985,9.712567
4,0.107254945,-0.7108307,-0.1148082,-0.026440557,0.017271135,-0.9995012,1.0,0.0,0.0,-0.03126964,0.02402448,0.07602626,0.03242612,-0.37646753,-0.079116635,0.08771678,0.05276164,-0.07309818,0.17800224,-0.40524775,0.02117645,-0.20531614,-0.01572524,0.30323204,0.07026431,-0.74866384,-0.52829057,0.54347944,-0.020754075,0.05311157,0.21468018,-0.5698958,0.29981127,-0.057267018,-0.6474524,-1.0624,-0.68667513,0.17498027,-0.24920243,-0.24682064,-0.078330554,-0.525234,-0.40103135,0.009547537,0.15428057,-1.587944,49.800293,34.26198,0.54219055,69.600395,-100.647804,31.018797,-127.03277,193.34671,-222.09258,200.21866,17.931091
5,0.47998866,-0.13109607,-0.0117361285,-0.04200457,0.0037659223,-0.99911034,1.0,0.0,0.0,-0.050112713,0.0038348564,0.10928929,0.04253316,-0.46492368,-0.13014576,0.15804717,0.03247816,-0.07822591,0.20387673,-0.4544931,0.057379812,-0.0557818,-0.14804658,0.056834437,0.038955603,-0.19217293,-0.15241931,0.19005263,-0.15218222,-0.08985174,0.061730932,0.01840628,0.14315838,0.39156032,0.5454787,-0.34277034,-1.7773709,0.24221708,0.6149677,-0.7214685,1.122427,-0.6495897,-0.18939263,0.09827683,0.098204456,25.016743,-15.5611725,-288.84982,-123.81349,188.11786,28.066338,-200.14868,-27.677668,-168.31517,-204.21478,200.79065,-15.346543
6,-0.05837699,0.42843142,0.037170947,-0.034742627,-0.003704548,-0.9993894,1.0,0.0,0.0,-0.018293269,-0.0024702374,0.10209817,0.035219193,-0.44019026,-0.096940376,0.15666635,0.027449885,-0.11850488,0.20327806,-0.38634032,0.06912124,0.33664683,0.05706041,-0.12265157,-0.079960495,0.37489793,0.42843395,-0.16791421,0.084060386,-0.29080898,-0.05816726,0.6026125,0.039465886,-0.37645492,0.15533395,0.24765946,-1.4025153,-0.3439315,0.6428784,0.1467143,0.02835054,0.5942838,0.8625149,-0.4399678,0.09487306,214.25174,6.6920013,-421.15198,-126.69399,171.02121,200.39282,-193.36945,235.44974,-182.38757,-222.20592,191.50772,0.66824013
7,-0.2381961,-0.1391146,0.3418279,-0.029876929,0.0030510572,-0.9995489,1.0,0.0,0.0,0.016186712,0.010832449,0.107637405,0.0052269697,-0.40764314,0.041573443,0.14652295,0.044710252,-0.15762371,0.20305002,-0.3304227,0.076134235,0.04974961,0.057113208,0.118864715,-0.12737216,0.10040094,0.7720007,-0.012781647,0.082743146,-0.11598027,0.045016333,0.015131797,0.030654434,-0.34235787,-0.4336579,0.34722838,-0.60621494,-1.6513671,0.31072196,0.33092576,0.057130925,0.777788,1.0977145,-1.0500529,0.05872803,-81.78414,-482.47818,74.586136,452.15768,-13.460375,-104.6662,20.548021,-148.88979,202.08603,180.61768,-199.89415,-6.9952283
8,-0.020662682,-0.68603563,0.3797356,-0.048779707,0.008155243,-0.9987763,1.0,0.0,0.0,-0.01519772,0.0068139974,0.15119386,-0.0056869984,-0.4504344,0.12440614,0.17391203,0.049929965,-0.15745556,0.22252643,-0.39201325,0.07331419,-0.33514884,-0.083449386,0.29176462,-0.028392805,-0.46285373,0.25969735,0.19968317,-0.0032555906,0.08049057,0.14026447,-0.5723057,-0.021133171,0.19002464,-0.5723551,-1.3509166,-1.1080507,-0.5944951,-0.25018057,0.020907544,0.29463726,-0.6205311,0.30736738,0.031208625,0.14421225,-203.69243,-284.1289,130.00867,63.518845,-180.31235,-40.692383,38.276802,39.5176,202.2357,184.31912,-199.74716,1.148957
9,-0.046148162,-0.21562089,0.2463705,-0.06575055,0.010335229,-0.9977824,1.0,0.0,0.0,-0.05535993,-0.0036057138,0.18760842,-0.00777781,-0.49587375,0.11914296,0.17392164,0.06155034,-0.16147429,0.24994755,-0.44179994,0.08742274,-0.09118934,-0.023201458,0.096526735,0.0024472224,-0.14367865,-0.26059577,-0.14843671,0.10563572,-0.100325696,0.1296645,0.015591601,0.07842893,0.3485433,0.2653062,-1.0389817,-1.5332929,-0.40892935,0.43750048,-0.46109903,0.41851074,-0.24475542,0.042941473,0.43462324,0.42829707,121.08706,115.856964,-137.86768,-20.57814,20.781393,-179.32837,-122.02254,204.8829,-191.14719,-84.60597,200.30673,0.51821613
