step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.582608e-05,0.0012920402,1.1921543,1.0741433,0.0042169597,-0.00021053404,6.1113526e-05,0.0020836648,1.1906246,1.0728502,0.0041135713,0.00018121366
1,2.4974414e-10,-1.1622904e-09,2.439911e-10,0.0,0.0,-1.0,1.0,0.0,0.0,-2.8689423e-12,2.8003022e-11,0.0,0.0,0.0,-4.122386e-12,3.6160633e-13,-1.2825002e-11,0.0,0.0,0.0,3.6327798e-12,-3.3806746e-12,2.2019823e-10,2.4465502e-10,1.1287884e-10,-8.413138e-12,-1.756314e-11,2.2460504e-12,-1.08198506e-10,2.8783556e-10,-1.3596939e-10,-1.3665485e-11,1.5820838e-11,0.22689143,1.5828495,0.273369,0.32749262,-0.46159965,-0.26802254,-0.15395202,-1.0790341,-0.29729205,0.64845175,-0.5489643,0.19709766,9.568933e-08,-7.4012985e-07,4.057308,-12.409888,1.6599164e-07,1.3083998e-08,4.3222286e-08,1.1941344e-06,4.057308,-12.409888,1.9373469e-07,-2.7327687e-09
2,-0.041043084,-0.11825877,0.13916485,-0.0027790659,0.0009446469,-0.9999957,1.0,0.0,0.0,0.021915425,0.006846982,0.0017011762,0.014737725,-0.037140667,-0.033963483,-0.023774577,-0.0039828517,-0.011219323,0.024045348,-0.03522432,0.032843146,0.20553954,0.060459483,0.025078295,0.12413841,-0.3354368,-0.3154606,-0.18349284,-0.038110383,-0.104422055,0.2165836,-0.32110098,0.23947051,0.22579738,2.6002462,0.13357382,-1.0555315,0.19216037,-0.021548405,0.023441602,-2.6682515,1.0148491,-1.1000913,0.4594625,0.3077107,200.85219,219.99126,193.05992,180.06242,-200.0395,-199.61938,-15.437621,-204.07626,-204.13129,180.15453,-200.05568,-30.334036
3,-0.083816715,-0.47854763,0.0027070586,-0.016421715,0.0039866166,-0.9998572,1.0,0.0,0.0,0.07124898,0.025566986,0.021500826,0.026297212,-0.06968123,-0.05892588,-0.030799989,-0.018644162,-0.006156504,0.045954943,-0.06377554,0.09790994,0.2281584,0.1235166,0.16707043,-0.014820171,-0.017003022,0.0215585,0.070384845,-0.10426264,0.12001419,0.021045951,0.0029726885,0.307745,-0.110565454,3.1146502,0.043706708,-1.1297666,0.2546222,0.13960312,0.17908889,-2.9483705,0.24331151,-1.4759898,0.19120896,-0.3100991,-49.484303,243.56908,-17.50124,-232.89725,199.41,200.95943,79.83523,-192.5147,211.68625,-213.33365,200.14769,-60.50701
4,-0.027051138,-0.5035136,-0.14866748,-0.034853943,0.006477499,-0.9993714,1.0,0.0,0.0,0.092399955,0.053755954,0.05085963,0.01517868,-0.036655605,-0.025767254,0.007856979,-0.043506887,0.030093312,0.032089353,-0.028202713,0.12475407,0.021866292,0.102333546,0.12765369,-0.026402026,0.28494826,0.19307588,0.23564795,-0.09458423,0.20458785,-0.06696261,0.277262,-0.0075564696,-0.0053070337,3.0159192,0.0023537795,-0.5780073,-0.15886006,-0.35713148,-0.028710525,-2.832178,-0.45113206,-0.668463,-0.049912345,-0.4601452,-277.90515,-681.57654,-272.6768,324.72192,-93.8228,-117.39182,82.88113,772.90234,-170.58086,258.1778,-190.80643,-182.37335
5,0.031905852,-0.10347764,0.13285835,-0.046492983,0.006077267,-0.9989002,1.0,0.0,0.0,0.0770435,0.0649043,0.06397855,0.014803529,-0.015517592,-0.037681185,0.021498295,-0.052043654,0.05071193,0.025559783,-0.014751077,0.09103441,-0.11660824,0.04303853,0.01651257,-0.0022224085,-0.022052316,-0.24387696,-0.056070935,-0.025662864,0.027921954,-0.029179836,-0.057396688,-0.3066176,0.07780242,2.7980976,0.13393438,-0.73610455,-0.37079442,-0.32618508,-0.124268934,-2.6614752,0.06453578,-0.48363477,-0.33110872,-0.040778276,12.406122,60.93611,-37.92302,-1.439682,-168.85745,-234.97781,-94.75058,50.106445,-245.23091,-128.5517,-94.37167,-188.50998
6,-0.010417713,-0.08846104,0.26626033,-0.050676305,0.005877548,-0.9986979,1.0,0.0,0.0,0.07274829,0.077760935,0.07783151,0.002019167,-0.05619812,-0.10469368,-0.009164692,-0.060494754,0.058787107,0.008772373,-0.062084615,0.05583074,0.020854736,0.07296295,0.07717518,-0.050878495,-0.3236342,-0.3159417,-0.17847535,-0.03924661,0.047663372,-0.077177115,-0.35312364,-0.114244275,0.25827852,2.8495405,0.29924077,-0.723213,-0.027314883,0.43739545,0.09383614,-2.7887802,-0.04312999,-0.8095599,0.04798426,0.73027813,33.82085,-110.946625,145.92416,343.2906,-134.93344,48.58773,-0.68901825,239.24796,413.9948,535.5672,-92.27859,60.7774
7,-0.071178846,-0.22227666,0.13393062,-0.05734618,0.008101544,-0.99832153,1.0,0.0,0.0,0.10425371,0.093053274,0.09369391,-0.009682059,-0.08477366,-0.1285416,-0.024950959,-0.06581548,0.07061672,0.0012538433,-0.08907527,0.07041388,0.226297,0.08123195,0.087979846,-0.07899991,0.0022789184,0.036688603,0.0033879795,-0.022980643,0.06477779,-0.023354832,0.03554074,0.22045624,-0.15100247,2.7171383,0.014852002,-0.64124703,0.26125368,0.19289978,0.3223538,-2.889749,0.12659903,-0.81224364,0.20930591,-0.068899125,-10.580492,-5.8659363,-8.946838,-54.08055,201.17125,207.18582,151.43439,-4.6327972,-88.79285,1.5023346,227.13596,201.74826
8,-0.07363903,-0.0031010758,0.108523935,-0.062173687,0.011193758,-0.9980025,1.0,0.0,0.0,0.12767792,0.10436261,0.10457492,-0.02859664,-0.04280609,-0.08832658,0.000292897,-0.06666176,0.08430165,-0.011795402,-0.04677427,0.08139052,0.0032356286,0.030455813,0.028332058,-0.12999432,0.38025126,0.33390066,0.2518197,0.009275669,0.06293918,-0.11811941,0.3381735,-0.08735097,-0.14570208,2.6818008,0.05001787,-0.5072744,-0.1700257,-0.04380825,0.036203522,-2.969681,-0.0340303,-0.48771006,-0.097719714,-0.2962063,-233.80914,-67.794235,-131.52446,-196.1523,216.26184,187.73563,244.02411,52.44481,-55.595383,-202.40497,174.58438,-198.23315
9,-0.08196629,0.37706015,0.40460113,-0.052624743,0.015278506,-0.9984975,1.0,0.0,0.0,0.10020224,0.1074317,0.100456,-0.054924488,-0.0015098453,-0.061360467,0.023413492,-0.062010806,0.0813995,-0.041597128,-0.01056093,0.033743598,-0.22718649,-0.00038904542,-0.049670093,-0.10914594,0.07850149,0.00807594,0.008088666,0.04360689,-0.076837964,-0.09790643,0.073894076,-0.3209796,0.265633,2.5417366,0.20528127,0.1745697,-0.36492145,-0.42802978,-0.17517884,-2.9970381,0.49552947,0.526897,-0.3872383,0.3151463,-119.66212,-134.89232,50.004387,109.111145,-167.06259,-32.329666,-74.99687,252.38254,15.670715,316.1394,-132.02269,-80.899925
