step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.15607418,-0.09477662,0.026719028,-0.0022918992,-0.00562213,-0.9999815,0.0,0.0,0.0,8.69061e-05,-0.010899444,0.0014104843,0.002413392,0.014278293,0.006805152,5.9447153e-05,-0.011336764,0.0024691224,0.00018334389,0.01718092,0.00687327,0.00021470687,-0.055586465,0.006822426,0.021663165,0.07653754,0.031184947,0.0005700417,-0.057766605,0.011741234,0.006700534,0.10757142,0.03190244,1.2060602,1.8438395,-0.49915615,2.1252449,-1.8702323,1.0577466,0.25968996,1.653996,-0.4175696,-0.0075878054,-1.8780506,1.0838248
2,0.2305817,-0.1178418,0.06645924,-0.0068321307,-0.014420532,-0.9998727,0.0,0.0,0.0,0.010941967,-0.027137749,-0.001999259,0.019686699,0.03497702,0.022279698,0.0023488656,-0.027364539,0.0032420158,0.0039411783,0.040565193,0.021848964,0.058225133,-0.082671545,-0.015631024,0.097191475,0.09742564,0.07810076,0.010237589,-0.08295115,0.0052384264,0.015643427,0.106145084,0.075836465,2.1493824,2.8741798,-1.100414,1.1113966,-2.1905024,2.248824,0.19196782,5.2385983,-0.09266807,-0.8866565,-2.311574,0.6108719
3,-0.07090102,-0.016645815,-0.011482797,-0.008308576,-0.016354518,-0.9998318,0.0,0.0,0.0,0.03129709,-0.028075185,-0.008528352,0.030249119,0.050478578,0.043630287,0.00390346,-0.03077925,0.0049211383,-1.6093254e-05,0.053521454,0.0266153,0.102070175,0.046404514,-0.038419597,0.04657915,0.06486464,0.10663267,0.007084334,0.020415049,0.00922925,-0.026571674,0.041134793,0.021630494,1.8466682,3.8303347,-1.2660046,0.49448633,-1.9047375,0.7418134,0.65390795,8.676086,-0.33959615,-1.6602125,-2.7557933,-0.069818884
4,-0.29030034,0.09869818,-0.02897106,-0.0054641417,-0.0075163017,-0.99995685,0.0,0.0,0.0,0.0484568,-0.006478325,-0.01854676,0.03338158,0.06361258,0.0512664,0.009241632,-0.017246947,0.0056229234,-0.010683775,0.055246055,0.024324697,0.08492853,0.12167513,-0.05288924,0.01266166,0.06747335,0.030165894,0.026446665,0.08941365,0.0020994905,-0.061286163,-0.009639534,-0.012871593,0.9795286,4.4638658,-0.63935095,0.5714357,-1.4825885,0.29417154,-0.17717373,10.982419,-1.0151663,-0.4029783,-2.910973,-0.20205256
5,-0.14177686,0.07068222,0.09891751,-0.0025606407,0.00029379738,-0.99999666,0.0,0.0,0.0,0.056533493,0.009212359,-0.02364266,0.037088633,0.07754785,0.052659024,0.007286542,-0.006215791,0.00024998188,-0.01459527,0.05207205,0.021772822,0.03800338,0.052357223,-0.01947269,0.020464778,0.07313027,0.00603772,-0.010527594,0.03685833,-0.032291245,-0.016800068,-0.020035394,-0.012585098,0.4723734,3.676948,-0.4391228,0.8381491,-1.5553942,0.29924157,-0.9140947,12.602874,-1.2036339,-0.024646416,-2.7897959,0.5841043
6,-0.06941046,0.053140875,0.1621752,-0.0003616536,0.0041441494,-0.9999913,0.0,0.0,0.0,0.059120726,0.016153235,-0.025765836,0.043521404,0.091641545,0.054085005,-0.0017556554,-0.0022016517,-0.008004427,-0.014477849,0.046660483,0.026817814,0.011923622,0.023546597,-0.008430206,0.033484247,0.06631215,0.0073487633,-0.045786455,0.009524729,-0.04258118,0.0016409428,-0.031688213,0.025875121,0.43003106,3.2156775,-0.93080074,0.41212922,-1.6124825,0.5245424,-0.78120184,13.402904,-1.113872,0.0021309704,-2.764989,0.31895503
7,-0.015917491,0.0923743,0.11290855,0.0031506538,0.005637055,-0.99997926,0.0,0.0,0.0,0.06111953,0.018033585,-0.030742228,0.046770573,0.10239667,0.057745654,-0.009386696,-0.0029530113,-0.016525865,-0.014315128,0.038660586,0.029469393,0.009542134,0.00030868067,-0.028800426,0.01290141,0.043371737,0.018483518,-0.037395667,-0.01244428,-0.040780246,0.0016918922,-0.047235727,0.01361868,0.45843893,3.2580674,-1.2500737,0.39805245,-1.8464112,0.4661791,-0.8727111,13.730726,-1.0516026,-0.03628777,-2.787619,0.13252887
8,0.033609416,0.11189529,0.08556965,0.007543701,0.00503046,-0.9999589,0.0,0.0,0.0,0.06325746,0.015601963,-0.03914082,0.049230933,0.10917574,0.06076115,-0.017544081,-0.007765485,-0.024248898,-0.014365315,0.026765645,0.030412037,0.010472466,-0.019972866,-0.044539385,0.011121391,0.03311721,0.01421348,-0.040385958,-0.03174342,-0.037278313,0.00018401907,-0.06776279,0.004482191,0.46282285,3.2520862,-1.3408253,0.360726,-1.927897,0.3590804,-0.77545786,13.908406,-1.0575176,-0.039273992,-2.8049982,0.100666255
9,0.07614542,0.12049248,0.072867714,0.01231441,0.0026430087,-0.9999207,0.0,0.0,0.0,0.06534327,0.009486596,-0.04886961,0.051042914,0.11646533,0.06245393,-0.024508595,-0.016261702,-0.03167826,-0.014321089,0.010707855,0.031000674,0.010201062,-0.03758092,-0.049431365,0.008418289,0.036629286,0.007881946,-0.03408788,-0.049750354,-0.036957268,0.00042689196,-0.08903197,0.0029439142,0.48912978,3.2783775,-1.4329016,0.33728218,-2.0062742,0.34493765,-0.73723626,14.008205,-0.9922804,-0.039358005,-2.8319857,-0.049349934
