step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1,0.15607418,-0.09477662,0.026719028,-0.0022918992,-0.00562213,-0.9999815,1.0,0.0,0.0,8.69061e-05,-0.010899444,0.0014104843,0.002413392,0.014278293,0.006805152,5.9447153e-05,-0.011336764,0.0024691224,0.00018334389,0.01718092,0.00687327,0.00021470687,-0.055586465,0.006822426,0.021663165,0.07653754,0.031184947,0.0005700417,-0.057766605,0.011741234,0.006700534,0.10757142,0.03190244,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,2.091053,10.338837,-17.61411,24.833359,28.646912,-3.6993103,7.393487,44.2995,-78.390114,38.04918,97.923645,-4.755371
2,0.119259164,-0.138256,0.015898727,-0.007304889,-0.01246953,-0.9998956,1.0,0.0,0.0,9.0349764e-05,-0.022752907,0.0038747787,0.005812168,0.033537805,0.012847605,0.00013247272,-0.023289382,0.00496912,0.0013200045,0.045294225,0.012903126,-0.0006835579,-0.042818554,0.015581961,0.010410946,0.11470776,0.027289748,-5.217881e-05,-0.042861562,0.010112651,0.008837074,0.16224657,0.026658317,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-20.13947,279.68896,-0.32044983,-61.360733,130.15417,-38.56317,-14.370047,282.03516,-73.60148,64.86017,99.91931,-40.828766
3,-0.007309041,-0.17417811,-0.0017519118,-0.013715068,-0.012897865,-0.99982274,1.0,0.0,0.0,3.9641902e-05,-0.02481805,0.006760657,0.007272601,0.06728035,0.017948678,0.00017393193,-0.025383063,0.006967604,0.0034382343,0.0832513,0.017994296,-0.000289053,-0.005393618,0.014184895,0.006285274,0.19677101,0.025093267,0.0006044036,-0.0058438717,0.010778444,0.009168178,0.21063769,0.025542824,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-2.3288913,12.068436,-30.076996,-2.87397,133.84326,-4.8034363,4.075613,2.689621,-26.696991,-3.6361084,119.525055,0.00982666
4,-0.006003243,-0.2146571,0.01751882,-0.021654973,-0.012600851,-0.9996861,1.0,0.0,0.0,9.123107e-05,-0.025915185,0.008969605,0.0091023445,0.117290795,0.021192653,0.00021438606,-0.02641341,0.009584129,0.004568696,0.13187683,0.020414725,0.0002106922,-0.00435343,0.009417129,0.010216101,0.28646544,-0.003410048,9.203236e-05,-0.0043762336,0.015534647,0.0018026311,0.2642301,-0.0035481192,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,3.406341,3.8157043,-0.6693039,-31.737411,72.76044,-59.91405,1.3047163,-4.7474594,-17.792572,-18.169018,95.5661,-11.613501
5,-0.008205683,-0.23650059,0.026972143,-0.030754521,-0.012267005,-0.99945164,1.0,0.0,0.0,0.00012758763,-0.026764784,0.011331022,0.010311842,0.17710513,0.020318441,0.00020415198,-0.02737975,0.012335777,0.0050156116,0.18899643,0.020822048,0.00015179573,-0.0042110584,0.012520121,0.0045080157,0.3088953,-0.0042679636,-0.00019329485,-0.0045961547,0.012792322,0.0029749179,0.2973558,-3.6948903e-05,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.5993241,-2.1463165,-19.199219,-10.837273,60.181366,0.67522824,1.1389983,48.740776,-26.701942,-5.615715,82.97702,-238.97296
6,-0.0099212285,-0.26610586,0.025097448,-0.040910937,-0.011831227,-0.9990927,1.0,0.0,0.0,0.00013026601,-0.027659906,0.013823509,0.011207461,0.24224627,0.021118846,0.0002026877,-0.028112188,0.014810383,0.0054950714,0.25355464,0.02020411,-7.87432e-05,-0.003613374,0.012817613,0.003755424,0.3385112,-0.0026394937,3.0161673e-05,-0.003497794,0.011826962,0.0025706263,0.34001833,-0.0032054277,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,2.5039084,9.666786,-14.684082,-22.169746,77.072815,-55.915634,0.37139547,-3.303482,-34.81965,-5.121849,96.612305,-0.13862705
7,-0.010883752,-0.29648212,0.025438111,-0.052296717,-0.011324806,-0.99856734,1.0,0.0,0.0,0.0001432991,-0.028252497,0.01626265,0.011904836,0.31489483,0.020380244,0.00019823032,-0.028829936,0.017216027,0.0059007406,0.3260229,0.020921353,-6.1884726e-05,-0.0029097588,0.011915453,0.0030469766,0.3776755,-0.0042583547,-4.4019846e-05,-0.003114117,0.012480914,0.0017435433,0.36843964,-0.0029318396,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-1.7737757,1.3966522,-25.30339,-13.669979,54.57199,-6.9069605,3.59615,1.5759888,2.9152985,-27.074839,1.3146667,-39.346767
8,-0.007438883,-0.29010397,0.026697747,-0.06401553,-0.010918676,-0.9978893,1.0,0.0,0.0,0.00013704356,-0.029178286,0.018783987,0.011712074,0.38532868,0.020890458,0.00018992077,-0.02986603,0.019799054,0.005720973,0.387843,0.020216566,-0.000102271966,-0.0052392446,0.012699604,-0.002209014,0.31714153,-0.0008672854,-3.7114543e-05,-0.005577808,0.012578602,-0.0010331064,0.27061653,-0.003454027,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-1.0800245,1.9236603,1.9740143,-15.523876,-188.22174,-277.51868,0.04177259,1.4407196,3.2954254,-13.803719,-238.47598,1.8792725
9,-0.0048127733,-0.28548756,0.026356047,-0.07548879,-0.010561209,-0.9970907,1.0,0.0,0.0,0.00013323672,-0.030412087,0.021297514,0.011269808,0.43892324,0.020112704,0.00017862381,-0.03087369,0.022298098,0.005512476,0.43201047,0.020705748,-9.249948e-06,-0.007324402,0.012493484,-0.0021795009,0.23686562,-0.004154937,-8.736544e-05,-0.005678071,0.012353954,-0.0010709384,0.1923325,-0.0035749262,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.08959228,-23.552101,5.6230316,-13.730097,-143.26685,-5.4343686,0.43478727,-5.2136,3.458908,-13.546802,-139.21057,-32.21036
