step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2385204,709.1563,268.65686,3.4245384,-34.05713,-27.264193,-2.8670561,1168.7185,389.73358,28.773586,-34.01462,-29.85339
1,0.0,0.0,0.0,0.0018398354,-0.008622605,-0.99996114,1.0,0.0,0.0,0.00015620954,-0.16628428,0.11251199,-0.03429544,0.00987035,0.006714688,0.007399184,-0.14921768,0.116960585,-0.042236805,0.018509507,0.0087855365,0.031036047,-0.7086262,0.74515104,-0.21437643,0.05639554,0.018559363,0.002730053,-0.6482737,0.81695384,-0.2884061,0.12781315,0.027803276,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-149.62914,6615.8213,-1320.8231,120.00342,51.835266,6.1398926,-251.68866,8602.642,567.64923,62.509827,216.32507,-39.874207
2,0.0,0.0,0.0,0.0018398354,-0.008622605,-0.99996114,1.0,0.0,0.0,0.00310422,-0.23272078,0.25244498,-0.06401503,0.023985386,0.011015494,0.003341409,-0.15554117,0.17861855,-0.047540426,0.05769503,0.014471495,0.0026127566,-0.109715305,0.47144365,-0.021269606,0.08436542,0.022711944,-0.011474757,0.12234712,0.16578288,0.051969327,0.23751776,0.029264277,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,7.029892,1268.0253,-1982.5773,412.22406,51.65158,32.23294,119.25069,2884.8865,-2123.0574,-216.6311,211.68857,10.825256
3,0.0,0.0,0.0,0.0018398354,-0.008622605,-0.99996114,1.0,0.0,0.0,0.003634965,-0.23411642,0.36663482,-0.06545091,0.045855284,0.015425565,0.0044304575,-0.07544299,0.19546962,-0.041190743,0.11686182,0.020745736,0.010082691,0.1200334,0.37934622,0.0719647,0.1325001,0.019309573,0.031635933,0.80541193,-0.031256747,0.07482272,0.32956827,0.04043721,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-12.226055,2411.1472,-2492.2148,-473.24817,60.46469,6.784622,77.980804,14491.353,-4680.1143,326.3195,111.53375,239.01205
4,0.0,0.0,0.0,0.0018398354,-0.008622605,-0.99996114,1.0,0.0,0.0,0.00415339,-0.22804692,0.47627997,-0.06731641,0.075362384,0.019769713,0.00246555,-0.11775844,0.29115373,-0.06943345,0.18759173,0.021241939,0.00065578,-0.0052315956,0.619806,-0.028476005,0.15971035,0.020777507,0.030117026,-0.16137014,0.5413391,-0.1265782,0.3746929,-0.007501808,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-142.97966,-339.2191,2152.124,-181.4302,88.22977,-9.47081,-334.21283,1726.5391,2201.689,412.9703,130.58334,80.37301
5,0.0,0.0,0.0,0.0018398354,-0.008622605,-0.99996114,1.0,0.0,0.0,0.014604303,-0.12998095,0.5117552,-0.03942132,0.11569691,0.020620797,0.005159171,-0.096848436,0.3673682,-0.072855234,0.27066034,0.019865818,0.07964685,0.9167347,-0.20389628,0.22465661,0.22872472,-0.0029100454,-0.0071058646,0.15407534,0.28018057,0.042276554,0.44333014,-0.005280137,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-496.07092,1218.4285,-498.4902,-730.6273,64.16998,-265.21344,28.065369,538.0327,-2373.6685,224.23566,141.30252,-8.484552
6,0.0,0.0,0.0,0.0018398354,-0.008622605,-0.99996114,1.0,0.0,0.0,-0.020697428,-0.09602677,0.54487133,-0.035213828,0.15962094,0.020532198,-0.0022903944,-0.110953614,0.43430153,-0.07298553,0.36090967,0.021213168,-0.13803276,0.10760017,0.06600495,0.08364104,0.22061454,-0.011159295,-0.08836191,-0.41403508,0.4310274,-0.025788402,0.4260814,-0.00022376065,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,563.32294,6550.7466,-4570.2183,203.9123,-4.7692566,-2.4165123,533.551,-4072.683,-9.391296,397.2153,-220.22275,-47.192318
7,0.0,0.0,0.0,0.0018398354,-0.008622605,-0.99996114,1.0,0.0,0.0,-0.028768703,-0.07591143,0.5497453,-0.024469137,0.2045669,0.019412527,0.0103927655,-0.105418324,0.5168282,-0.06918359,0.43490675,0.019509852,0.20889147,0.67813724,-0.2678933,0.16191892,0.23417471,-0.017471734,0.23154025,0.61618274,0.14025337,0.17823046,0.3383849,-0.019016016,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,511.24783,13469.461,-8474.474,205.63773,14.670258,-26.504553,62.478413,18016.086,-11403.334,376.61993,-203.61462,-5.480656
8,0.0,0.0,0.0,0.0018398354,-0.008622605,-0.99996114,1.0,0.0,0.0,-0.03205272,-0.08022114,0.56951165,-0.02485466,0.2512945,0.020859873,0.0055548544,-0.09157295,0.5354417,-0.04925692,0.49488774,0.020000601,-0.0015872546,-0.003233398,0.10268404,-0.004964349,0.23835471,0.022635346,-0.026369954,0.07855962,0.04799561,0.07521818,0.27860165,-0.0031223143,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-484.5808,-7663.862,5104.5986,-586.3002,15.886261,387.99722,-510.16342,-5183.689,2087.0464,-559.7675,-102.125916,82.300186
9,0.0,0.0,0.0,0.0018398354,-0.008622605,-0.99996114,1.0,0.0,0.0,-0.0265309,-0.08789219,0.61250407,-0.02750671,0.3003897,0.020237396,0.0056562186,-0.08736566,0.54919475,-0.044967175,0.53931093,0.020620268,-0.013057657,-0.11761331,0.31985956,-0.04222007,0.24718045,-0.0019950126,-0.08815413,-0.22081177,0.19310078,-0.051622946,0.17892201,0.0011353339,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-347.74335,-1503.1724,1705.9254,333.1676,-3.0334778,-67.921394,-63.097576,-5602.6045,3147.5596,57.592613,-245.76855,-60.38446
