step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8523746,1168.6173,389.14877,28.704819,-30.287802,-32.74938,-2.8654907,1168.0725,388.87964,28.818748,-37.02763,-26.318628
1,0.0,0.0,0.0,0.005097216,-0.006984438,-0.99996257,1.0,0.0,0.0,0.0065372656,-0.14739306,0.10545713,-0.037407637,0.018871784,0.008618684,0.0060142567,-0.12529261,0.11255497,-0.04025364,0.018654108,0.00829496,-0.018684188,-0.57784957,0.63259643,-0.20973948,0.13266703,0.026163746,-0.028288862,-0.28118694,0.6767436,-0.22489779,0.13081573,0.02413009,0.026037693,0.17850569,-1.1929803,-0.11543497,-2.659664,1.6658429,-0.14675932,1.1027536,-1.5938357,-0.4598938,-3.1214411,0.6065278,-293.09726,10470.749,-2672.3696,86.640656,212.844,-41.518646,-258.94144,11578.441,-4826.758,141.3631,211.62634,17.548767
2,0.0,0.0,0.0,0.005097216,-0.006984438,-0.99996257,1.0,0.0,0.0,0.0037517208,-0.17130853,0.17845726,-0.049366593,0.05159545,0.026643006,0.0019839923,-0.06509377,0.17861015,-0.050384045,0.057610333,0.019283284,0.01071906,-0.022085391,0.2550743,-0.020881893,0.16037056,0.08026361,-0.014251771,0.21210085,0.432969,-0.1350203,0.23173685,0.073168956,4.118717,-1.2378597,-2.4206262,3.7740803,-1.1925557,0.96046305,-5.267263,2.070331,2.9258928,1.3377948,2.2230446,3.4381723,247.14317,-1022.9088,2387.8936,-482.36215,-47.22644,-22.719425,66.52601,-19470.898,11718.231,-771.6183,218.01404,59.1532
3,0.0,0.0,0.0,0.005097216,-0.006984438,-0.99996257,1.0,0.0,0.0,0.03755097,-0.21833628,0.32119024,-0.07661486,0.08022171,0.036013126,-0.029541275,-0.11851731,0.27924573,-0.07262826,0.10046679,0.05165239,0.20496605,-0.5005641,1.0647237,-0.2471926,0.13237415,0.048608012,-0.21048832,-0.039335117,0.36278942,-0.012688823,0.21753894,0.15820771,0.9905126,-0.6605961,-3.1712272,2.4566019,-0.7001318,1.1123945,-2.0655673,2.505701,0.63475704,1.3591112,-1.9186022,1.3536199,-203.11685,-5388.805,4398.5005,288.88153,-12.38028,-37.390686,-480.38635,2208.5278,-200.522,426.37955,78.90457,31.699219
4,0.0,0.0,0.0,0.005097216,-0.006984438,-0.99996257,1.0,0.0,0.0,0.054478657,-0.2237534,0.431228,-0.072398424,0.10817933,0.04497645,-0.05258874,-0.089878716,0.34942392,-0.06375897,0.14059371,0.06596861,0.028871795,0.012977076,0.5659246,0.05417713,0.1402966,0.046661045,-0.15652998,-0.0065929093,0.28412986,0.07164587,0.19362089,0.060825255,1.2259337,-1.818244,1.8143489,1.2509538,3.8118424,2.2083828,-7.2118244,0.6180549,2.2106423,5.4792,1.692235,1.9144369,-297.74518,-502.2029,727.9352,403.13245,35.25836,-15.889303,499.57687,-4679.431,334.83917,4.1172676,-37.467926,-76.85775
5,0.0,0.0,0.0,0.005097216,-0.006984438,-0.99996257,1.0,0.0,0.0,0.05885813,-0.213198,0.5194045,-0.05190146,0.14944458,0.06425661,-0.105669685,-0.09387585,0.405798,-0.03520441,0.17816716,0.082406476,0.074241325,0.25503978,0.20512588,0.1928574,0.20871098,0.09397465,-0.36089587,-0.11631196,0.3496744,0.16075492,0.1778637,0.08284234,3.4552002,-1.2181294,1.1609757,2.0223887,4.3794084,2.8982987,-4.3833985,0.74167633,-0.5372751,3.9393783,-1.2753692,0.81853133,461.50586,5919.9233,-6116.254,-396.37723,-33.630737,-4.308609,-477.15527,-3687.5537,2329.385,467.30438,-84.82544,-85.10918
6,0.0,0.0,0.0,0.005097216,-0.006984438,-0.99996257,1.0,0.0,0.0,0.099018715,-0.0826248,0.50497425,-0.007442355,0.19588447,0.08974058,-0.15364753,-0.104134426,0.49084878,-0.002346754,0.21185058,0.08811292,0.31156084,1.1398962,-0.3138871,0.25585577,0.22701037,0.120711386,-0.25655276,-0.22293103,0.5781782,0.10630697,0.1574707,0.029833322,6.2066913,0.050844193,-1.6707331,4.118093,2.6013818,1.0307885,-1.083463,2.1094327,1.4444906,3.6577163,-1.6634593,1.6905931,-488.76962,8327.244,-5166.682,-769.9748,-31.986633,53.323475,520.3686,-4704.5967,3185.9756,419.4704,-71.6203,-50.042435
7,0.0,0.0,0.0,0.005097216,-0.006984438,-0.99996257,1.0,0.0,0.0,0.0975878,-0.07361162,0.5037079,0.014475346,0.23459417,0.09945941,-0.16380762,-0.044175986,0.51199853,0.053262472,0.24246895,0.10049906,0.4250922,1.1804478,-0.5768935,0.4140644,0.18814658,0.00391283,-0.10916249,0.060121026,-0.010775487,0.27474368,0.14360398,0.06090652,4.402318,1.0856102,-5.9904885,2.861106,2.077541,0.15684274,1.561879,1.8018532,3.2060883,1.1782548,-0.6434133,2.5810552,500.11572,25958.57,-13236.016,481.15384,-85.5206,-71.630486,480.1129,-2874.027,-1087.676,-526.53723,-73.46524,-81.87105
8,0.0,0.0,0.0,0.005097216,-0.006984438,-0.99996257,1.0,0.0,0.0,0.10107996,-0.11139061,0.51852584,0.03774333,0.26602024,0.09751399,-0.18066028,-0.07565553,0.5085189,0.09181249,0.267986,0.12111402,0.16358428,0.10664727,-0.26069483,0.2814581,0.15072471,-0.016935103,-0.17609851,-0.6413338,0.17356125,0.062293943,0.11559757,0.112227,0.45937532,1.1754391,-6.3275437,4.6223903,4.4294853,0.07040164,1.0033673,3.4249706,1.8364,0.7809172,-0.89532626,2.6961427,501.58505,4432.864,-8455.608,-65.23879,-91.12857,67.6631,500.1896,-13724.009,7954.718,-526.54285,-48.21164,3.8108253
9,0.0,0.0,0.0,0.005097216,-0.006984438,-0.99996257,1.0,0.0,0.0,0.12713048,-0.08329843,0.5104344,0.06876385,0.3072026,0.094557256,-0.16416095,-0.08125046,0.50000846,0.10547328,0.29038262,0.14105739,0.33827746,0.8340427,-0.2617539,0.27846676,0.20944722,-0.025307348,0.11848601,0.10259911,0.20465401,-0.081323124,0.10808803,0.111111894,1.1201215,0.5423253,-6.5389905,3.4876983,0.41439176,2.0804763,0.93405116,3.2572987,2.3412738,1.3961809,-2.6420853,1.2575401,-507.05457,15316.457,-6296.079,474.627,-82.1387,157.25128,-415.96783,-12522.685,12455.677,-744.91,28.581116,79.99759
